OID_,status,type,bicycle_cl,length,comfort_le,date_creat,time_creat,date_modif,time_modif,len_m,lenm,startx,starty,endx,endy,shape_id,OBJECTID,Join_Count,TARGET_FID,segment_id,full_name,built_stat,one_way,numeric_pr,name,street_typ,octant,plan_statu,ctp_class,ownership,date_creat_1,time_creat_1,date_modif_1,time_modif_1,date_mod_2,time_mod_2,lenkm,Shape_Length
1,EXISTING,REGIONAL,On-Street Bikeway,,,2003-01-21 0:00,00:00.0,,,5.778903712510000,5.778903712510000,-114.2124303,51.122228000000000,-114.2123529,51.122210000000003,1,1,5,0,221714,SCURFIELD DR NW,Built,FT,0,SCURFIELD,DR,NW,RP,Collector,Corporate,2003-01-21 0:00,00:00.0,,,2003-01-21 0:00,00:00.0,0.076058877,7.94765E-05
2,EXISTING,REGIONAL,On-Street Bikeway,,,2009-01-07 0:00,00:00.0,,,6.985760789550000,6.985760789550000,-114.2113872,51.121717500000003,-114.2113342,51.121664299999999,2,2,5,1,292351,SCURFIELD DR NW,Built,FT,0,SCURFIELD,DR,NW,RP,Collector,Corporate,2009-01-07 0:00,00:00.0,,,1900-01-01 0:00,00:00.0,0.088428645,7.5097E-05
3,EXISTING,REGIONAL,On-Street Bikeway,,,2009-01-07 0:00,00:00.0,,,79.307336506200002,79.307336506200002,-114.2113342,51.121664299999999,-114.2110513,51.120983400000000,3,3,9,2,122646,SCENIC COVE DR NW,Built,FT,0,SCENIC COVE,DR,NW,RP,Collector,Corporate,2009-01-07 0:00,00:00.0,,,1999-07-21 0:00,00:00.0,0.014341803,0.000757095
4,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,9.945297587870000,9.945297587870000,-114.1888793,51.137781099999998,-114.1890114,51.137748199999997,4,4,5,3,139824,ARBOUR LAKE WY NW,Built,FT,0,ARBOUR LAKE,WY,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2002-12-30 0:00,00:00.0,0.058603027,0.000136145
5,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,161.512728159000005,161.512728159000005,-114.1866101,51.137923700000002,-114.1888793,51.137781099999998,5,5,6,4,139861,ARBOUR LAKE WY NW,Built,FT,0,ARBOUR LAKE,WY,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2005-03-16 0:00,00:00.0,0.161509734,0.0022846
6,EXISTING,REGIONAL,On-Street Bikeway,,,2005-03-16 0:00,00:00.0,,,24.637164226399999,24.637164226399999,-114.1848222,51.137548600000002,-114.1851462,51.137635000000003,6,6,7,5,72435,NOSE HILL DR NW,Built,FT,0,NOSE HILL,DR,NW,RP,Arterial Street,Corporate,2005-03-16 0:00,00:00.0,,,2016-08-31 0:00,25:51.0,0.012458435,0.000335371
7,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,49.700095350500000,49.700095350500000,-114.1830154,51.136752600000001,-114.1835214,51.137059100000002,7,7,7,6,72447,HAWKSTONE DR NW,Built,FT,0,HAWKSTONE,DR,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2005-03-16 0:00,00:00.0,0.092770347,0.000596918
8,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,48.462681353599997,48.462681353599997,-114.1687491,51.129901500000003,-114.1693145,51.129660800000003,8,8,7,7,66126,,Built,B,0,,,,RP,Lanes (Alleys),Corporate,1999-07-21 0:00,00:00.0,,,2002-12-30 0:00,00:00.0,0.388256627,0.000619374
9,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,141.277536330999993,141.277536330999993,-114.1719083,51.138674700000003,-114.1721629,51.137424799999998,9,9,7,8,72390,COUNTRY HILLS BV NW,Built,FT,0,COUNTRY HILLS,BV,NW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,,,2016-08-31 0:00,09:38.0,0.011018536,0.001299173
10,INACTIVE,REGIONAL,DECOMMISSIONED,,,,,2015-07-13 0:00,56:41.0,2487.775813969999945,2487.775813969999945,-114.0936936,51.044183199999999,-114.0582717,51.043181300000001,10,10,43,9,31920,10 AV SE,Built,B,0,10,AV,SE,RP,Urban Boulevard,Corporate,,,2015-07-13 0:00,56:41.0,1999-07-21 0:00,00:00.0,0.172303514,0.035442285
11,INACTIVE,REGIONAL,DECOMMISSIONED,,,1999-07-21 0:00,00:00.0,2015-07-13 0:00,56:32.0,172.305178178000006,172.305178178000006,-114.0582717,51.043181300000001,-114.0558174,51.043111199999998,11,11,7,10,31920,10 AV SE,Built,B,0,10,AV,SE,RP,Urban Boulevard,Corporate,1999-07-21 0:00,00:00.0,2015-07-13 0:00,56:32.0,1999-07-21 0:00,00:00.0,0.172303514,0.002455314
12,EXISTING,REGIONAL,On-Street Bikeway,,,,,,,121.749631222999994,121.749631222999994,-114.2584465,51.090720300000001,-114.256714,51.090731900000002,12,12,8,11,113250,VALLEY RIDGE DR NW,Built,FT,0,VALLEY RIDGE,DR,NW,RP,Collector,Corporate,,,,,1999-07-21 0:00,00:00.0,0.209311125,0.001734602
13,EXISTING,REGIONAL,On-Street Bikeway,,,,,,,1.997523991230000,1.997523991230000,-114.2245606,51.122169399999997,-114.2245519,51.122152300000003,13,13,6,12,114049,SCURFIELD DR NW,Built,FT,0,SCURFIELD,DR,NW,RP,Collector,Corporate,,,,,2002-12-30 0:00,00:00.0,0.185412647,1.91857E-05
14,EXISTING,REGIONAL,On-Street Bikeway,,,,,,,10.779988260800000,10.779988260800000,-114.203981,51.114905700000001,-114.2038534,51.114851500000000,14,14,7,13,73703,SILVERGROVE DR NW,Built,FT,0,SILVERGROVE,DR,NW,RP,Collector,Corporate,,,,,1999-07-21 0:00,00:00.0,0.013242474,0.00013864
15,EXISTING,REGIONAL,On-Street Bikeway,,,2001-01-22 0:00,00:00.0,,,303.236534145000007,303.236534145000007,-114.2146879,51.119398699999998,-114.2181132,51.117790399999997,15,15,6,14,180725,SCURFIELD WY NW,Built,B,0,SCURFIELD,WY,NW,RP,Collector,Corporate,2001-01-22 0:00,00:00.0,,,2004-12-07 0:00,00:00.0,0.040443193,0.003816071
16,EXISTING,REGIONAL,On-Street Bikeway,,,2001-01-22 0:00,00:00.0,,,83.713981650099996,83.713981650099996,-114.2135209,51.119555599999998,-114.2146879,51.119398699999998,16,16,7,15,180725,SCURFIELD WY NW,Built,B,0,SCURFIELD,WY,NW,RP,Collector,Corporate,2001-01-22 0:00,00:00.0,,,2004-12-07 0:00,00:00.0,0.040443193,0.001178445
17,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,24.771319763299999,24.771319763299999,-114.2050836,51.117909200000000,-114.205377,51.118033599999997,17,17,7,16,72843,NOSE HILL DR NW,Built,FT,0,NOSE HILL,DR,NW,RP,Arterial Street,Corporate,1999-07-21 0:00,00:00.0,,,1999-07-21 0:00,00:00.0,0.013457657,0.000318689
18,EXISTING,REGIONAL,On-Street Bikeway,,,2003-03-11 0:00,00:00.0,,,37.278730539999998,37.278730539999998,-114.1563461,51.105439199999999,-114.1559039,51.105252700000001,18,18,5,17,223198,DALHOUSIE DR NW,Built,FT,0,DALHOUSIE,DR,NW,RP,Arterial Street,Corporate,2003-03-11 0:00,00:00.0,,,2003-03-13 0:00,00:00.0,0.0372786,0.000479921
19,EXISTING,REGIONAL,On-Street Bikeway,,,2003-03-11 0:00,00:00.0,,,10.453706724200000,10.453706724200000,-114.1564701,51.105491499999999,-114.1563461,51.105439199999999,19,19,7,18,223198,DALHOUSIE DR NW,Built,FT,0,DALHOUSIE,DR,NW,RP,Arterial Street,Corporate,2003-03-11 0:00,00:00.0,,,2003-03-13 0:00,00:00.0,0.0372786,0.000134578
20,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,166.607635933000012,166.607635933000012,-114.1611301,51.141957400000003,-114.1591958,51.141165800000003,20,20,7,19,94207,HAMPTONS BV NW,Built,FT,0,HAMPTONS,BV,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,1999-07-21 0:00,00:00.0,0.166604945,0.002130724
21,EXISTING,REGIONAL,On-Street Bikeway,,,1999-07-21 0:00,00:00.0,,,10.901934270400000,10.901934270400000,-114.1451573,51.141227100000002,-114.1452542,51.141150400000001,21,21,5,20,127473,HAMPTONS BV NW,Built,FT,0,HAMPTONS,BV,NW,RP,Collector,Corporate,1999-07-21 0:00,00:00.0,,,2002-12-30 0:00,00:00.0,0.049441767,0.00012361
