title,year,adj_len,adj_len_norm,verify_install_type,install_len,upgrade1_len,upgrade1_len_replaced,upgrade2_len,upgrade2_len_replaced
"Vancouver, CA (~2223.7 km Total Roadway)",1986,1.868786903337544,0.8403952436648576,LSB,1.868786903337544,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1986,0.7152558895061241,0.32165125219504614,N,0.7152558895061241,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1990,7.4007038444937905,3.32810354116733,LSB,7.4007038444937905,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1990,4.305668643995153,1.9362632747201303,None,4.305668643995153,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1990,0.6961775516897699,0.31307170557618835,PL,0.6961775516897699,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1993,14.891227198292896,6.6965990008962075,LSB,14.891227198292896,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1993,4.512837127808995,2.0294271384669673,None,4.512837127808995,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1993,0.16786561684948242,0.0754893271796926,PBL,0.16786561684948242,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1994,25.361012911511665,11.40487157058581,LSB,25.361012911511665,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1994,4.744195039197709,2.1334690107468224,None,4.744195039197709,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1995,32.37866885396884,14.560718106744993,LSB,32.37866885396884,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1996,40.190333354006235,18.07363104465811,LSB,40.190333354006235,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1996,4.98697927443167,2.24264931170197,None,4.98697927443167,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1996,0.9413721685840916,0.4233359574511362,PL,0.9413721685840916,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1997,46.90366439921735,21.092622385761274,LSB,46.90366439921735,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1997,5.078154771546124,2.283651019267943,None,5.078154771546124,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1997,6.667741428191252,2.9984896470707616,PL,6.667741428191252,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1998,68.91358277354858,30.990503563227318,LSB,68.91358277354858,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1999,73.95345774806253,33.25694012144738,LSB,73.95345774806253,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",1999,5.168331091956754,2.3242033961221185,None,5.168331091956754,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2001,7.088173201366417,3.1875582144023107,PL,7.088173201366417,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2003,82.460852528543,37.08272362663264,LSB,82.460852528543,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2003,5.296271156024188,2.3817381643316042,None,5.296271156024188,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2003,0.3577170313050697,0.1608656884044924,PBL,0.3577170313050697,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2003,11.879412891117612,5.342183249142246,PL,11.879412891117612,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2004,91.11237333416084,40.9733207420789,LSB,91.11237333416084,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2004,2.409776224574799,1.0836786547532489,N,2.409776224574799,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2004,12.578194845332956,5.656426157005422,PL,12.578194845332956,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2005,92.8408215791846,41.75060555793705,LSB,92.8408215791846,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2005,5.415719029105605,2.435453986196702,None,5.415719029105605,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2005,16.909691684626967,7.604304395659023,PL,16.909691684626967,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2006,95.22365657198593,42.82216871519806,LSB,95.22365657198593,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2006,25.809681885289447,11.606638433821761,PL,25.809681885289447,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2007,97.96225166831762,44.053717528586425,LSB,97.96225166831762,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2007,5.641405805955044,2.536945543893081,None,5.641405805955044,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2007,0.7044629685156065,0.31679766538454224,PBL,0.7044629685156065,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2007,27.497994474344967,12.36587420710751,PL,27.497994474344967,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2008,106.45838967279535,47.87443885092205,LSB,106.45838967279535,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2008,6.429376155248998,2.8912965576512115,None,6.429376155248998,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2008,30.737856031771138,13.82284302368626,PL,30.737856031771138,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2009,0,0,BUF,0,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2009,124.05010948668863,55.78545194346748,LSB,124.05010948668863,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2009,2.409776224574799,1.0836786547532489,N,2.409776224574799,0,0,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2009,5.615322821314159,2.5252160009507394,None,6.812237649642752,0,1.1969148283285929,0,0
"Vancouver, CA (~2223.7 km Total Roadway)",2009,2.836801558668328,1.2757123526862115,PBL,1.7802635751719529,1.056537983496375,0,0,0
