road_type,year,verify_install_year,len,adj_len,road_type_recode,verify_install_type,install_len,upgrade1_len,upgrade1_len_replaced,upgrade2_len,upgrade2_len_replaced
All,,1986,0.7625943279272829,,Arterial,,,,,,
All,,1986,1.8214484649163851,,Local,,,,,,
All,,1990,5.020187293259815,,Arterial,,,,,,
All,,1990,0.7442532303523912,,Collector,,,,,,
All,,1990,7.353365406072632,,Local,,,,,,
All,,1993,5.205252065805733,,Arterial,,,,,,
All,,1993,15.033858087989143,,Local,,,,,,
All,,1994,0.884630075184609,,Collector,,,,,,
All,,1994,25.59462486776441,,Local,,,,,,
All,,1995,32.612280810221584,,Local,,,,,,
All,,1996,40.91192416238726,,Local,,,,,,
All,,1997,10.300489552633906,,Arterial,,,,,,
All,,1997,48.34756247749182,,Local,,,,,,
All,,1998,1.695975593642304,,Collector,,,,,,
All,,1998,69.54613533336536,,Local,,,,,,
All,,1999,74.67618662828994,,Local,,,,,,
All,,2001,10.720921325809071,,Arterial,,,,,,
All,,2003,15.359444798900952,,Arterial,,,,,,
All,,2003,3.1249733701230618,,Collector,,,,,,
All,,2003,82.22509132747197,,Local,,,,,,
All,,2004,16.507309686699845,,Arterial,,,,,,
All,,2004,4.78969281865495,,Collector,,,,,,
All,,2004,90.45733008604306,,Local,,,,,,
All,,2005,20.158849943376897,,Arterial,,,,,,
All,,2005,5.276964133960303,,Collector,,,,,,
All,,2005,92.49791147145984,,Local,,,,,,
All,,2006,28.037275625337323,,Arterial,,,,,,
All,,2006,6.25788846904173,,Collector,,,,,,
All,,2006,94.92138664788179,,Local,,,,,,
All,,2007,28.203923092983686,,Arterial,,,,,,
All,,2007,7.517873255926628,,Collector,,,,,,
All,,2007,98.49409479279772,,Local,,,,,,
All,,2008,32.23175499970381,,Arterial,,,,,,
All,,2008,106.99023279727545,,Local,,,,,,
All,,2009,36.24758944810403,,Arterial,,,,,,
All,,2009,13.006118136644357,,Collector,,,,,,
All,,2009,125.46150398968037,,Local,,,,,,
All,,2010,38.679442000682236,,Arterial,,,,,,
All,,2010,13.130175541176984,,Collector,,,,,,
All,,2010,127.25918139435659,,Local,,,,,,
All,,2011,38.98959939045597,,Arterial,,,,,,
All,,2011,13.130175541176984,,Collector,,,,,,
All,,2011,134.82535797699393,,Local,,,,,,
All,,2012,39.526203210631266,,Arterial,,,,,,
All,,2012,13.20237221303886,,Collector,,,,,,
All,,2012,148.52581588639217,,Local,,,,,,
All,,2013,39.6999983660783,,Arterial,,,,,,
All,,2013,14.172077599100213,,Collector,,,,,,
All,,2013,162.66456165131024,,Local,,,,,,
All,,2014,40.000356894871516,,Arterial,,,,,,
All,,2014,15.317866031425053,,Collector,,,,,,
All,,2014,165.15460235149502,,Local,,,,,,
All,,2015,42.17580519556103,,Arterial,,,,,,
All,,2015,15.533366518315423,,Collector,,,,,,
All,,2015,165.71414366106305,,Local,,,,,,
All,,2016,44.085062735822994,,Arterial,,,,,,
All,,2016,15.533366518315423,,Collector,,,,,,
All,,2016,165.71414366106305,,Local,,,,,,
All,,2017,44.41679374107472,,Arterial,,,,,,
All,,2017,16.6426316693651,,Collector,,,,,,
All,,2017,170.02742303852003,,Local,,,,,,
All,,2018,45.03829594432266,,Arterial,,,,,,
All,,2018,16.94999487467957,,Collector,,,,,,
All,,2018,173.4032381421167,,Local,,,,,,
All,,2019,45.03829594432266,,Arterial,,,,,,
All,,2019,16.94999487467957,,Collector,,,,,,
All,,2019,175.1434676255996,,Local,,,,,,
All,,2020,46.73675128963923,,Arterial,,,,,,
All,,2020,17.950226318049886,,Collector,,,,,,
All,,2020,177.33722090030614,,Local,,,,,,
All,,2021,48.7349042185603,,Arterial,,,,,,
All,,2021,17.950226318049886,,Collector,,,,,,
All,,2021,179.78171868661985,,Local,,,,,,
All,,2022,49.22969594630019,,Arterial,,,,,,
All,,2022,17.950226318049886,,Collector,,,,,,
All,,2022,179.78171868661985,,Local,,,,,,
Arterial,1986,,,0.047338438421158785,,LSB,0.047338438421158785,0,0,0,0
Arterial,1986,,,0.7152558895061241,,N,0.7152558895061241,0,0,0,0
Arterial,1990,,,3.5614154136427616,,None,3.5614154136427616,0,0,0,0
Arterial,1990,,,0.6961775516897699,,PL,0.6961775516897699,0,0,0,0
Arterial,1993,,,0.23240321096707725,,LSB,0.23240321096707725,0,0,0,0
Arterial,1997,,,3.652590910757216,,None,3.652590910757216,0,0,0,0
Arterial,1997,,,5.700239541403488,,PL,5.700239541403488,0,0,0,0
Arterial,2001,,,6.1206713145786535,,PL,6.1206713145786535,0,0,0,0
Arterial,2003,,,3.780530974824649,,None,3.780530974824649,0,0,0,0
Arterial,2003,,,0.09519990185396018,,PBL,0.09519990185396018,0,0,0,0
Arterial,2003,,,10.536054821749142,,PL,10.536054821749142,0,0,0,0
Arterial,2004,,,1.3802680987659675,,LSB,1.3802680987659675,0,0,0,0
Arterial,2005,,,14.187595078426197,,PL,14.187595078426197,0,0,0,0
Arterial,2006,,,22.06602076038662,,PL,22.06602076038662,0,0,0,0
Arterial,2007,,,22.232668228032985,,PL,22.232668228032985,0,0,0,0
Arterial,2008,,,4.568501324118603,,None,4.568501324118603,0,0,0,0
Arterial,2008,,,25.472529785459155,,PL,25.472529785459155,0,0,0,0
Arterial,2009,,,0,,BUF,0,0,0,0,0
Arterial,2009,,,1.5226708305831678,,LSB,1.5226708305831678,0,0,0,0
Arterial,2009,,,0.7152558895061241,,N,0.7152558895061241,0,0,0,0
Arterial,2009,,,3.56160302486999,,None,4.618141008366365,0,1.056537983496375,0,0
Arterial,2009,,,1.8113252313198198,,PBL,0.7547872478234448,1.056537983496375,0,0,0
Arterial,2009,,,28.636734471824933,,PL,28.636734471824933,0,0,0,0
Arterial,2010,,,0,,BUF,0,0,0,0,0
Arterial,2010,,,1.5226708305831678,,LSB,1.5226708305831678,0,0,0,0
Arterial,2010,,,0.7152558895061241,,N,0.7152558895061241,0,0,0,0
Arterial,2010,,,3.56160302486999,,None,4.618141008366365,0,1.056537983496375,0,0
Arterial,2010,,,5.60073638417205,,PBL,1.0080070681715445,4.592729316000506,0,0,0
Arterial,2010,,,27.27917587155091,,PL,30.81536720405504,0,3.536191332504131,0,0
Arterial,2011,,,0,,BUF,0,0,0,0,0
Arterial,2011,,,1.5226708305831678,,LSB,1.5226708305831678,0,0,0,0
Arterial,2011,,,0.7152558895061241,,N,0.7152558895061241,0,0,0,0
Arterial,2011,,,3.56160302486999,,None,4.618141008366365,0,1.056537983496375,0,0
Arterial,2011,,,5.910893773945783,,PBL,1.3181644579452767,4.592729316000506,0,0,0
Arterial,2011,,,27.27917587155091,,PL,30.81536720405504,0,3.536191332504131,0,0
Arterial,2012,,,0,,BUF,0,0,0,0,0
Arterial,2012,,,1.7376919423123514,,LSB,1.7376919423123514,0,0,0,0
Arterial,2012,,,0.7152558895061241,,N,0.7152558895061241,0,0,0,0
