city,id,verify_install_year,verify_install_type,verify_install_comment,verify_remove_url,verify_remove_url,verify_remove_year,verify_remove_type,verify_remove_comment
vancouver,295136,2010,None,"Decided to group with obs 750/751 given same upgrade date and prior installation being a sharrow (SSNDL): PRIOR: https://www.google.com/maps/@49.2057595,-123.1189752,3a,75y,111.7h,68.48t/data=!3m7!1e1!3m5!1sCCPGuVd-47vLy8E5nySJAg!2e0!5s20140501T000000!7i","http://maps.google.com/maps?q=&layer=c&cbll=49.2055752885085,-123.118272058185","http://maps.google.com/maps?q=&layer=c&cbll=49.2055752885085,-123.118272058185",2007,SR,SR is sharrow
vancouver,297801,2016,None,"less than 50% of install was protected, rest was a sharrow: https://www.google.com/maps/@49.2771832,-123.1165566,3a,35.9y,127.96h,82.26t/data=!3m7!1e1!3m5!1sIGoLFAaNNerWnG_PgORXXQ!2e0!5s20170601T000000!7i13312!8i6656 August 2016: https://www.cbc.ca/news/","http://maps.google.com/maps?q=&layer=c&cbll=49.2769751176285,-123.116267453955","http://maps.google.com/maps?q=&layer=c&cbll=49.2769751176285,-123.116267453955",2009,SR,SR is sharrow
vancouver,297802,2016,None,"Part of route PBL prior to upgrade, but not more than 50% of route, decided to categorize install as SSNDL: https://www.google.com/maps/@49.2791966,-123.1196863,3a,90y,314.57h,65.66t/data=!3m7!1e1!3m5!1stvCjFAASXEBDqXh6ixvs0g!2e0!5s20190501T000000!7i1638","http://maps.google.com/maps?q=&layer=c&cbll=49.2791976464187,-123.119700444118","http://maps.google.com/maps?q=&layer=c&cbll=49.2791976464187,-123.119700444118",2009,SR,SR is sharrow
vancouver,297012,2016,None,"less than 50% of install was protected, rest was a sharrow: https://www.google.com/maps/@49.2788076,-123.1191004,3a,71.4y,49.22h,44.98t/data=!3m7!1e1!3m5!1sbXEHeNQ5efvu_4pOTHzf5g!2e0!5s20220501T000000!7i16384!8i8193 August 2016: https://www.cbc.ca/news/c","http://maps.google.com/maps?q=&layer=c&cbll=49.278254983237,-123.118244906026","http://maps.google.com/maps?q=&layer=c&cbll=49.278254983237,-123.118244906026",2009,SR,SR is sharrow
calgary,493,2012,None,"PL both sides of road however not along the majority of the segment, SV: between July 2009 and Apr 2012 (https://www.google.com/maps/@51.0583852,-114.0859093,3a,41y,189.32h,83.5t/data=!3m7!1e1!3m5!1sHFQJIZFIQgfZ5_a42RLElQ!2e0!5s20120401T000000!7i13312!8i","http://maps.google.com/maps?q=&layer=c&cbll=51.0577371464031,-114.085952350396","http://maps.google.com/maps?q=&layer=c&cbll=51.0577371464031,-114.085952350396",2009,SR,SR is sharrow
calgary,2452,2011,None,"Initially built as a mixed path, around 2012. https://www.google.com/maps/@51.0442865,-114.0533201,3a,30.2y,181.54h,83.44t/data=!3m7!1e1!3m5!1sicSASmm3EyU4vZA5hHk1iw!2e0!5s20120501T000000!7i13312!8i6656?entry=ttu . See completed by Jan 6, 2012, see under","http://maps.google.com/maps?q=&layer=c&cbll=51.0431799953232,-114.053219285506","http://maps.google.com/maps?q=&layer=c&cbll=51.0431799953232,-114.053219285506",2007,MP,MP is mixed path
calgary,2453,2011,None,"Initially built as a mixed path, around 2012. https://www.google.com/maps/@51.0442865,-114.0533201,3a,30.2y,181.54h,83.44t/data=!3m7!1e1!3m5!1sicSASmm3EyU4vZA5hHk1iw!2e0!5s20120501T000000!7i13312!8i6656?entry=ttu . See completed by Jan 6, 2012, see under","http://maps.google.com/maps?q=&layer=c&cbll=51.0423273700278,-114.053421938474","http://maps.google.com/maps?q=&layer=c&cbll=51.0423273700278,-114.053421938474",2007,MP,MP is mixed path
calgary,2454,2011,None,"Initially built as a mixed path, around 2012. https://www.google.com/maps/@51.0442865,-114.0533201,3a,30.2y,181.54h,83.44t/data=!3m7!1e1!3m5!1sicSASmm3EyU4vZA5hHk1iw!2e0!5s20120501T000000!7i13312!8i6656?entry=ttu . See completed by Jan 6, 2012, see under","http://maps.google.com/maps?q=&layer=c&cbll=51.0434279448982,-114.053337517251","http://maps.google.com/maps?q=&layer=c&cbll=51.0434279448982,-114.053337517251",2007,MP,MP is mixed path
calgary,2557,2021,None,"Exception along this route: this segment has no infrastructure: (SV: https://www.google.com/maps/@51.0345495,-114.0368196,3a,75y,359.5h,82.66t/data=!3m7!1e1!3m5!1sSdWNnC-0-ycA70ro5yX_pA!2e0!5s20210401T000000!7i16384!8i8192?entry=ttu). No infra up to Apri","http://maps.google.com/maps?q=&layer=c&cbll=51.0347814,-114.036762799997","http://maps.google.com/maps?q=&layer=c&cbll=51.0347814,-114.036762799997",2009,None,None indicates no infra
calgary,3264,2019,None,"Shared road prior to install, after 2019, see shared path with pedestrians. SV: https://www.google.com/maps/@51.0377644,-113.9924818,3a,75y,130.44h,73.01t/data=!3m7!1e1!3m5!1sWAfxOUob3CHu9kz3GY5mgg!2e0!5s20190801T000000!7i13312!8i6656?entry=ttu. Timeline","http://maps.google.com/maps?q=&layer=c&cbll=51.0377508567664,-113.992058514434","http://maps.google.com/maps?q=&layer=c&cbll=51.0377508567664,-113.992058514434",2009,SR,SR is sharrow
calgary,3265,2019,None,"Shared road prior to install, after 2019, see shared path with pedestrians. SV: https://www.google.com/maps/@51.0377644,-113.9924818,3a,75y,130.44h,73.01t/data=!3m7!1e1!3m5!1sWAfxOUob3CHu9kz3GY5mgg!2e0!5s20190801T000000!7i13312!8i6656?entry=ttu. Timeline","http://maps.google.com/maps?q=&layer=c&cbll=51.0377583360146,-113.993009560855","http://maps.google.com/maps?q=&layer=c&cbll=51.0377583360146,-113.993009560855",2009,SR,SR is sharrow
calgary,3266,2019,None,"Shared road prior to install, after 2019, see shared path with pedestrians. SV: https://www.google.com/maps/@51.0377644,-113.9924818,3a,75y,130.44h,73.01t/data=!3m7!1e1!3m5!1sWAfxOUob3CHu9kz3GY5mgg!2e0!5s20190801T000000!7i13312!8i6656?entry=ttu. Timeline","http://maps.google.com/maps?q=&layer=c&cbll=51.0377077500235,-113.991075149927","http://maps.google.com/maps?q=&layer=c&cbll=51.0377077500235,-113.991075149927",2009,SR,SR is sharrow
calgary,3267,2019,None,"Shared road prior to install, after 2019, see shared path with pedestrians. SV: https://www.google.com/maps/@51.0377644,-113.9924818,3a,75y,130.44h,73.01t/data=!3m7!1e1!3m5!1sWAfxOUob3CHu9kz3GY5mgg!2e0!5s20190801T000000!7i13312!8i6656?entry=ttu. Timeline","http://maps.google.com/maps?q=&layer=c&cbll=51.0376280523911,-113.990834918324","http://maps.google.com/maps?q=&layer=c&cbll=51.0376280523911,-113.990834918324",2009,SR,SR is sharrow
calgary,3268,2019,None,"Shared road prior to install, after 2019, see shared path with pedestrians. SV: https://www.google.com/maps/@51.0377644,-113.9924818,3a,75y,130.44h,73.01t/data=!3m7!1e1!3m5!1sWAfxOUob3CHu9kz3GY5mgg!2e0!5s20190801T000000!7i13312!8i6656?entry=ttu. Timeline","http://maps.google.com/maps?q=&layer=c&cbll=51.0375457000432,-113.990785900062","http://maps.google.com/maps?q=&layer=c&cbll=51.0375457000432,-113.990785900062",2009,SR,SR is sharrow
calgary,3526,2020,None,,"http://maps.google.com/maps?q=&layer=c&cbll=51.0522706882657,-114.063829290531","http://maps.google.com/maps?q=&layer=c&cbll=51.0522706882657,-114.063829290531",2007,None,None indicates no infra
toronto,762,2011,SR,Corrected original class of None to SR,"http://maps.google.com/maps?q=&layer=c&cbll=43.6502248391807,-79.4403757669308","http://maps.google.com/maps?q=&layer=c&cbll=43.6502248391807,-79.4403757669308",2007,None,None indicates no infra
toronto,1221,2015,SR,"* inconclusive date because infrastructure type is None (sharrows), sharrows, installed 2015. Corrected class  None to SR","http://maps.google.com/maps?q=&layer=c&cbll=43.6473221537403,-79.4179415229077","http://maps.google.com/maps?q=&layer=c&cbll=43.6473221537403,-79.4179415229077",2007,None,None indicates no infra
toronto,1230,2015,SR,* inconclusive date because infrastructure type is None (sharrows) Corrected class  None to SR,"http://maps.google.com/maps?q=&layer=c&cbll=43.646948884676,-79.419737950054","http://maps.google.com/maps?q=&layer=c&cbll=43.646948884676,-79.419737950054",2007,None,None indicates no infra
