ID_CITY,ID_DATAENTRY,ID_1_OBJ2,OBJECTID,CITY_INST_YR,CITY_UPGR_YR,CITY_INFRA_HIGHORDER,CITY_INFRA_LOWORDER,CITY_LAST_REVIEWED,CITY_CONVERT_YR,ATR_SEGMENT_LENGTH,STREET_NAME,FROM_STREET,TO_STREET,SEAN_CODE,DPR_EXCL_FLAG,CHECK_FLAG,Notes,Confirmed Before upgrade,INSTALLED_ORIG,INST_DATE_ORIG,Installation_Notes_ORIG,Upgrade code_ORIG,UPGRADED_ORIG,UPGRADED_DATE_ORIG,"MATCH_Installation (1 match, 2 no match)",INST_YR,INST_DATE,INST_TYPE,INST_MAJ_HTYPE,INST_MIN_HTYPE,INST_COMMENTS,UPGR1_YR,UPGR1_DATE,UPGR1_TYPE,UPGR1_MAJ_HTYPE,UPGR1_MIN_HTYPE,UPGR1_COMMENTS,UPGR2_YR,UPGR2_DATE,UPGR2_TYPE,UPGR2_MAJ_HTYPE,UPGR2_TYPE_MIN,UPGR2_COMMENTS,GEOJSON_INDIV,GEOJSON_GROUP,MAPS_URL_2POINT,MAPS_URL_3POINT,START_XY,CENTER_XY,END_XY,YEAR_DIFF,Infra_Post2019
1133,1,1134,3811,2015,2020,Cycle Track,,2023-01-16T19:53:01,,1266.471949,Adelaide St E,Yonge St,Parliament St,Y,,,K- checked 20230731,,2015,01-Sep-15,https://www.toronto.ca/services-payments/streets-parking-transportation/cycling-in-toronto/cycling-pedestrian-projects/rich-adel/,,2020,30-Sep-20,1,2015,01-Sep-15,PBL,PBL,PBL,"flex posts: https://www.google.com/maps/@43.6506218,-79.3774194,3a,67.8y,84.11h,84.66t/data=!3m7!1e1!3m5!1sb32vV8b4MACN_rToITh_gQ!2e0!5s20170801T000000!7i13312!8i6656?entry=ttu, one side of road",2020,30-Sep-20,PBL,PBL,PBL,upgrade Installation Notice: https://www.toronto.ca/wp-content/uploads/2020/06/8f26-Argyle-Installation-Notice.pdf upgrade to jersy barrier,,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.37847007,43.65040748],[-79.36359862,43.65356402]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.37847007,43.65040748],[-79.36359862,43.65356402]]}},","https://www.google.com/maps/dir/43.65040748,-79.37847007/43.65356402,-79.36359862","https://www.google.com/maps/dir/43.65040748,-79.37847007/43.65163461,-79.37095168/43.65356402,-79.36359862",START/-79.37847/43.65041,CENTER/-79.37095168/43.65163461,END/-79.3636/43.65356,0,0
1136,2,1137,3814,2015,2020,Cycle Track,,2023-01-16T19:53:01,,592.4916634,Adelaide St W,University Ave,Yonge St,Y,,,K- checked 20230731,,2015,01-Sep-15,https://www.toronto.ca/services-payments/streets-parking-transportation/cycling-in-toronto/cycling-pedestrian-projects/rich-adel/,,2020,30-Sep-20,1,2015,01-Sep-15,PL,PL,PL,"some small segments are protected, however they are more of intersection treatments: https://www.google.com/maps/@43.6497969,-79.3812389,3a,49.5y,81.23h,85.11t/data=!3m7!1e1!3m5!1sPEU_-XA1N4f-fbanJofG5A!2e0!5s20160501T000000!7i13312!8i6656?entry=ttu, will categorize as PL",2020,30-Sep-20,PL,PL,PL,"Majority PL infrastructure: https://www.google.com/maps/@43.6499598,-79.3806136,3a,60.9y,260.29h,85.67t/data=!3m6!1e1!3m4!1sI9jkcs7DU3e1Ui9haBsmMg!2e0!7i16384!8i8192?entry=ttu , some segments protected. Catorized as PL based on majority definition.",,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.37847007,43.65040748],[-79.38550628,43.64888024]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.37847007,43.65040748],[-79.38550628,43.64888024]]}},","https://www.google.com/maps/dir/43.65040748,-79.37847007/43.64888024,-79.38550628","https://www.google.com/maps/dir/43.65040748,-79.37847007/43.64964474,-79.38198836/43.64888024,-79.38550628",START/-79.37847/43.65041,CENTER/-79.38198836/43.64964474,END/-79.38551/43.64888,0,0
1135,3,1136,3813,2015,2020,Cycle Track,,2023-01-16T19:53:01,,89.6732374,Adelaide St W,Simcoe St,University Ave,Y,,,K- checked 20230731,,2015,01-Sep-15,https://www.toronto.ca/services-payments/streets-parking-transportation/cycling-in-toronto/cycling-pedestrian-projects/rich-adel/,,2020,30-Sep-20,1,2015,15-Sep,BUF,PL,BUF,"Inst buf: https://www.google.com/maps/@43.6485688,-79.3865928,3a,18.9y,61.72h,82.2t/data=!3m7!1e1!3m5!1sNRsYf3Su0GXS0pDD5ZIBoA!2e0!5s20160501T000000!7i13312!8i6656?entry=ttu",2020,30-Sep-20,BUF,PL,BUF,"2 flexiposts installed along entire segment, still categorized as Buffered: https://www.google.com/maps/@43.6485576,-79.3866799,3a,15y,66.62h,85.82t/data=!3m7!1e1!3m5!1ssKJt00Un0lzOwqNwBf5T9g!2e0!5s20210401T000000!7i16384!8i8192?entry=ttu",,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.38555634,43.64886925],[-79.38662133,43.64863825]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.38555634,43.64886925],[-79.38662133,43.64863825]]}},","https://www.google.com/maps/dir/43.64886925,-79.38555634/43.64863825,-79.38662133","https://www.google.com/maps/dir/43.64886925,-79.38555634/43.64875363,-79.38608881/43.64863825,-79.38662133",START/-79.38556/43.64887,CENTER/-79.38608881/43.64875363,END/-79.38662/43.64864,0,0
1134,4,1135,3812,2014,2020,Cycle Track,,2023-01-16T19:53:01,,1393.980302,Adelaide St W,Bathurst St,Simcoe St,Y,,,K- checked 20230731,,2014,01-Jul-14,https://www.toronto.ca/services-payments/streets-parking-transportation/cycling-in-toronto/cycling-pedestrian-projects/rich-adel/,,2020,30-Sep-20,1,2014,01-Jul-14,PBL,PBL,PBL,"pbl has vertical barriers along majority of segment, data provided by MPH student: https://www.google.com/maps/@43.6476416,-79.3913084,3a,90y,127.39h,58.87t/data=!3m7!1e1!3m5!1s49h4RX1CQJvk4dWzY1W51g!2e0!5s20160501T000000!7i13312!8i6656?entry=ttu",2020,30-Sep-20,PBL,PBL,PBL,"remains PBL: https://www.google.com/maps/@43.6476207,-79.391339,3a,75y,231.22h,76.17t/data=!3m7!1e1!3m5!1snZbwD5-VXem2I3fBt89SUQ!2e0!5s20201001T000000!7i16384!8i8192?entry=ttu",,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.38662133,43.64863825],[-79.40323373,43.64519201]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.38662133,43.64863825],[-79.40323373,43.64519201]]}},","https://www.google.com/maps/dir/43.64863825,-79.38662133/43.64519201,-79.40323373","https://www.google.com/maps/dir/43.64863825,-79.38662133/43.64688246,-79.39492041/43.64519201,-79.40323373",START/-79.38662/43.64864,CENTER/-79.39492041/43.64688246,END/-79.40323/43.64519,0,0
1004,5,1005,,2009,0,Bike Lane,Bike Lane,2023-01-16T19:53:01,,1820.397355,Annette St,Runnymede Rd,Dundas St W,,,,,,,,,,,,,2009,Jun-Jul 2009,PL,PL,PL,"SV Jun 2009: https://www.google.com/maps/@43.6602041,-79.4792762,3a,75y,38.25h,79.12t/data=!3m7!1e1!3m5!1sXqBATKUtVRDiDIdOJ8jgmw!2e0!5s20090601T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.45877759,43.66448603],[-79.48001518,43.66006013]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.45877759,43.66448603],[-79.48001518,43.66006013]]}},","https://www.google.com/maps/dir/43.66448603,-79.45877759/43.66006013,-79.48001518","https://www.google.com/maps/dir/43.66448603,-79.45877759/43.66282454,-79.4695152/43.66006013,-79.48001518",START/-79.45878/43.66449,CENTER/-79.4695152/43.66282454,END/-79.48002/43.66006,,0
1009,6,1010,3683,2009,2016,Bike Lane,Bike Lane,2023-01-16T19:53:01,,683.6742037,Annette St,Jane St,Runnymede Rd,N-GR,,,"Jul 2009 SV: https://www.google.com/maps/@43.6594703,-79.4825811,3a,75y,275.96h,80.83t/data=!3m7!1e1!3m5!1spKYusIdzD7T9tCcypbe0tQ!2e0!5s20090701T000000!7i13312!8i6656?entry=ttu",,2009,,,,2016,,1,2009,,PL,PL,PL,No further upgrades,,,,,,,,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.48001518,43.66006013],[-79.48812155,43.65826807]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.48001518,43.66006013],[-79.48812155,43.65826807]]}},","https://www.google.com/maps/dir/43.66006013,-79.48001518/43.65826807,-79.48812155","https://www.google.com/maps/dir/43.66006013,-79.48001518/43.65915806,-79.4840669/43.65826807,-79.48812155",START/-79.48002/43.66006,CENTER/-79.4840669/43.65915806,END/-79.48812/43.65827,,0
1220,7,1221,3899,2015,0,Bike Lane - Contraflow,Sharrows,2023-01-16T19:53:01,2020,103.1177295,Argyle St,Givins St,Shaw St,N-GR,,,inst type none,,2015,,,,2020,29-Jun-20,1,2015,,SR (Sharrows),None,None,"* inconclusive date because infrastructure type is None (sharrows), sharrows, installed 2015. ",2020,29-Jun-20,PL,PL,PL,Upgrade Installation Notice: https://www.toronto.ca/wp-content/uploads/2020/06/8f26-Argyle-Installation-Notice.pdf,,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.41732271,43.6474377],[-79.41855668,43.64719676]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.41732271,43.6474377],[-79.41855668,43.64719676]]}},","https://www.google.com/maps/dir/43.6474377,-79.41732271/43.64719676,-79.41855668","https://www.google.com/maps/dir/43.6474377,-79.41732271/43.64732711,-79.41794179/43.64719676,-79.41855668",START/-79.41732/43.64744,CENTER/-79.41794179/43.64732711,END/-79.41856/43.6472,0,2
1229,8,1230,3908,2015,0,Bike Lane - Contraflow,Sharrows,2023-01-16T19:53:01,2020,17.08531456,Argyle St,Ossington Ave,17m East of Ossington Ave,N-GR,,,"Streetview April 2015: https://www.google.com/maps/@43.6469653,-79.4195854,3a,75y,245.25h,57.43t/data=!3m7!1e1!3m5!1sVEx7Qyk5Z_8RGP8PgtL15A!2e0!5s20150401T000000!7i13312!8i6656?entry=ttu . inst type none",,2015,,,,2020,29-Jun-20,1,2015,,None (Sharrows),None,None,* inconclusive date because infrastructure type is None (sharrows),2020,29-Jun-20,PL,PL,PL,Upgrade Installation Notice: https://www.toronto.ca/wp-content/uploads/2020/06/8f26-Argyle-Installation-Notice.pdf,,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.41963646,43.6469708],[-79.41983944,43.64692697]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.41963646,43.6469708],[-79.41983944,43.64692697]]}},","https://www.google.com/maps/dir/43.6469708,-79.41963646/43.64692697,-79.41983944","https://www.google.com/maps/dir/43.6469708,-79.41963646/43.64694888,-79.41973795/43.64692697,-79.41983944",START/-79.41964/43.64697,CENTER/-79.41973795/43.64694888,END/-79.41984/43.64693,0,2
1230,9,1231,3909,2015,0,Bike Lane - Contraflow,Sharrows,2023-01-16T19:53:01,,15.41030523,Argyle St,15m West of Ossington Ave,Ossington Ave,N-GR,,,"Sat view installation window: Nov 7, 2015 and April 16, 2016; Policy document to suggest completion in 2015, final installation window Nov-Dec 2015 (https://www.toronto.ca/wp-content/uploads/2019/04/95f0-Argyle-Bikeway-Display-Boards-23-April-2019_ACC.pdf)",,2015,,,,0,,1,2015,Nov-Dec 2015,None (Sharrows) + PL,PL,PL,"Prior to 2015 = None, install to PL one side around 2015 (minor alterations since but no change in type, still PL - small PBL element at end but not majority - as seen through street view) https://www.google.com/maps/@43.646821,-79.4203523,3a,87.8y,85.21h,71.96t/data=!3m7!1e1!3m5!1s2Z6aF1HY7ZkZgWrA1PIs9w!2e0!5s20210601T000000!7i16384!8i8192?entry=ttu",,,,,,,,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.41983944,43.64692697],[-79.42002279,43.64688809]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.41983944,43.64692697],[-79.42002279,43.64688809]]}},","https://www.google.com/maps/dir/43.64692697,-79.41983944/43.64688809,-79.42002279","https://www.google.com/maps/dir/43.64692697,-79.41983944/43.64690753,-79.41993111/43.64688809,-79.42002279",START/-79.41984/43.64693,CENTER/-79.41993111/43.64690753,END/-79.42002/43.64689,0,0
1145,10,1146,3823,2015,0,Bike Lane - Contraflow,Sharrows,2023-01-16T19:53:01,,288.8949456,Argyle St,Dovercourt Rd,15m West of Ossington Ave,N-GR,,,"Merge #3823 (this segment) with #3909; same segment, same observations; https://www.google.com/maps/@43.6462174,-79.4233611,3a,85.6y,75.81h,74.95t/data=!3m7!1e1!3m5!1sP-NPgD0sBob2Db5zXvYktw!2e0!5s20180901T000000!7i16384!8i8192?entry=ttu",,2015,,,,0,,1,2015,Nov-Dec 2015,None (Sharrows) + PL,PL,PL,Date sourced from a combination of satellite imagery and policy document; Policy document: https://www.toronto.ca/wp-content/uploads/2019/04/95f0-Argyle-Bikeway-Display-Boards-23-April-2019_ACC.pdf,,,,,,,,,,,,,"{""type"": ""LineString"", ""coordinates"": [[-79.42002279,43.64688809],[-79.42347266,43.64619178]]}","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-79.42002279,43.64688809],[-79.42347266,43.64619178]]}},","https://www.google.com/maps/dir/43.64688809,-79.42002279/43.64619178,-79.42347266","https://www.google.com/maps/dir/43.64688809,-79.42002279/43.64653684,-79.42174711/43.64619178,-79.42347266",START/-79.42002/43.64689,CENTER/-79.42174711/43.64653684,END/-79.42347/43.64619,0,0
