id,street,street_from,street_to,road_type,road_type_recode,install_year,install_type,verify_install_year,verify_install_date,verify_install_type,verify_install_comment,verify_upgrade1_year,verify_upgrade1_date,verify_upgrade1_type,verify_upgrade1_comment,verify_upgrade2_year,verify_upgrade2_date,verify_upgrade2_type,verify_upgrade2_comment,verify_misclass,geometry_len_km,geometry_crs,geometry
8,Bloor St E,Parliament St,Castle Frank Rd,Major Arterial,Arterial,2001,Cycle Track,2001,Pre-2007,PL,"PL pre-2007: https://www.google.com/maps/@43.6732319,-79.3691049,3a,73.2y,34.74h,68.32t/data=!3m7!1e1!3m5!1sIeyGJnhiM9mjkcs1xqxhcw!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",2021,23-Sep-21,PBL,"PBL upgraded between 2020 and 2021: https://www.google.com/maps/@43.673219,-79.3690773,3a,75y,86.14h,69.73t/data=!3m8!1e1!3m6!1smj8wDk_FuuwipmwuE2JpSA!2e0!5s20210901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dmj8w",,,,,,0.3260056260085661,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.37123 43.67189, -79.37119 43.6719, -79.37116 43.6719, -79.37112 43.67191, -79.37108 43.67192, -79.37105 43.67192, -79.37101 43.67192, -79.37097 43.67193, -79.37094 43.67194, -79.37083 43.67196, -79.3708 43.67197, -79.37076 43.67199, -79.37073 43.672, -79.3707 43.67201, -79.36998 43.67253, -79.36992 43.67258, -79.36883 43.67333, -79.3682 43.67378))"
17,Lake Shore Blvd W,Humber Bay Park Rd W,Humber Bay Park East Trl,Major Arterial,Arterial,2001,Bike Lane,2015,,PL,"Painted Lane: https://www.google.com/maps/@43.621083,-79.4826483,3a,75y,18.21h,88.06t/data=!3m8!1e1!3m6!1sMJB-vJon4smvO7A8Tb2NNw!2e0!5s20220901T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DMJB-vJon4smvO7A8Tb2NNw%26c",,,,,,,,,,0.2365338374156605,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.48135 43.62279, -79.48197 43.62198, -79.48203 43.62191, -79.48223 43.62157, -79.48248 43.6212, -79.48257 43.62109, -79.48275 43.62093))"
18,Lake Shore Blvd W,37 M E Fleeceline Rd,Humber Bay Park Rd W,Major Arterial,Arterial,2001,Bike Lane,2015,,PL,"Painted Lane: https://www.google.com/maps/@43.6201075,-79.4846658,3a,31.3y,211.17h,85.44t/data=!3m6!1e1!3m4!1sxO8W_BI06yA9H8FYkYAghg!2e0!7i16384!8i8192?entry=ttu",,,,,,,,,,0.2255538199681325,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.48275 43.62093, -79.48293 43.62075, -79.48308 43.62064, -79.48318 43.62056, -79.48323 43.62053, -79.48327 43.62051, -79.48343 43.62042, -79.48384 43.62026, -79.48388 43.62026, -79.48393 43.62024, -79.484 43.62022, -79.48416 43.62019, -79.48426 43.62016, -79.48513 43.61995))"
19,Lake Shore Blvd W,50.7 M E Louisa St,37 M E Fleeceline Rd,Major Arterial,Arterial,2001,Bike Lane,2015,,PL,"Painted Lane: https://www.google.com/maps/@43.6196279,-79.4857963,3a,15y,205.44h,86.9t/data=!3m7!1e1!3m5!1slrn3URS1G-Fez-2ASS3zaA!2e0!5s20150401T000000!7i13312!8i6656?entry=ttu",,,,,,,,,,0.11266641636214084,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.48513 43.61995, -79.48528 43.61991, -79.48542 43.61987, -79.48555 43.61982, -79.48567 43.61977, -79.48578 43.61971, -79.48588 43.61964, -79.48592 43.6196, -79.48596 43.61957, -79.48604 43.6195, -79.48611 43.61943, -79.48619 43.61934))"
38,Queens Quay W,Martin Goodman Trl,Bathurst St,Collector,Collector,2001,Bi-Directional Cycle Track,2009,Pre-2009,PL,"PL installed pre-2009: https://www.google.com/maps/@43.63534,-79.3990609,3a,15y,225.88h,84.26t/data=!3m7!1e1!3m5!1sJ338-CmunvB2s-k6txkoLw!2e0!5s20090601T000000!7i13312!8i6656?entry=ttu",2015,April-Sept 2015,PBL,"PBL upgrade April - Sept 2015: https://www.google.com/maps/@43.6353629,-79.3989952,3a,75y,198.7h,75.12t/data=!3m7!1e1!3m5!1sC257_w9mzx1B9p4M8lMhnw!2e0!5s20150901T000000!7i13312!8i6656?entry=ttu",,,,,,0.2250246425899875,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.40061 43.63446, -79.39972 43.63495, -79.3992 43.63524, -79.39912 43.63528, -79.39874 43.63548, -79.39837 43.63568))"
39,Davenport Rd,Cottingham Rd,Macpherson Ave,Minor Arterial,Arterial,2001,Bike Lane,2007,Pre-2007,PL,"Pre 2007: https://www.google.com/maps/@43.6770247,-79.4040806,3a,75y,310.25h,80.44t/data=!3m7!1e1!3m5!1s0KrfdmVrlUaFf0m53QLkqg!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",2016,,PL,K- no changes since.,,,,,,0.1792343492794323,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.40369 43.67668, -79.40478 43.67756, -79.40495 43.67767, -79.40507 43.67774, -79.40525 43.67782))"
40,Elizabeth St,College St,Gerrard St W,Collector,Collector,2001,Bike Lane,2007,pre Sep 2007,PL,"PL pre 2007: SV (https://www.google.com/maps/@43.6590912,-79.3867923,3a,75y,188.22h,75.73t/data=!3m7!1e1!3m5!1swPgZ-4pECz8BtPGmZypapg!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu), no changes since.",2016,,PL,,,,,,,0.27268583767521537,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.38642 43.65817, -79.38743 43.66051))"
41,Gerrard St E,Yonge St,Church St,Minor Arterial,Arterial,2001,Cycle Track,2007,pre Sep 2007,PL,"Sep 2007 SV: https://www.google.com/maps/@43.6598749,-79.3785605,3a,48.8y,254.66h,88.15t/data=!3m7!1e1!3m5!1sxjtGBvbrgBUQuOOZc2gEnw!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",2017,Oct 2016 - Mar 2017,PBL,"Aug 2017 SV: https://www.google.com/maps/@43.6591769,-79.3814749,3a,75y,67.93h,85.83t/data=!3m7!1e1!3m5!1s_bREbvRxkksltpbzRZaFbg!2e0!5s20170801T000000!7i13312!8i6656?entry=ttu",,,,,,0.30039368124832905,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.38212 43.6591, -79.38146 43.65922, -79.38139 43.65924, -79.38088 43.65935, -79.38084 43.65936, -79.37854 43.65986))"
42,Macpherson Ave,Davenport Rd,Poplar Plains Rd,Collector,Collector,2001,Bike Lane,2007,pre Sep 2007,PL,"Sep 2007 road signage SV: https://www.google.ca/maps/@43.6768119,-79.4030195,3a,68.4y,223.41h,75.29t/data=!3m7!1e1!3m5!1sVPgCXa6EUs9XPJXGZ42FaQ!2e0!5s20070901T000000!7i3328!8i1664?entry=ttu",,,,"No infrastructure type upgrade, PL was improved with extended lines (Jun2013-May2014) and green paint around curbs (May2016-Aug2017)",,,,,,0.05949573325960352,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.40298 43.67684, -79.40369 43.67668))"
43,Lake Shore Blvd W,Marine Parade Dr,Palace Pier Crt,Major Arterial,Arterial,2001,Bike Lane,2016,May-Nov 2016,PL,"PL installed between May 2016 and Jul 2017: https://www.google.com/maps/@43.6312765,-79.4755769,3a,74.2y,254.69h,75.11t/data=!3m7!1e1!3m5!1sOefku060PZkmjXyvFMRa6Q!2e0!5s20170701T000000!7i13312!8i6656?entry=ttu. No upgrades since. Likely May - Nov based o",,,,,,,,,,0.157697515776334,+proj=longlat +datum=WGS84 +no_defs,"MULTILINESTRING ((-79.47554 43.63126, -79.47568 43.63108, -79.47578 43.63098, -79.47596 43.63086, -79.47613 43.63077, -79.47644 43.6306, -79.47651 43.63054, -79.47688 43.6303, -79.47691 43.63027))"
