OID_,_id1,OBJECTI2,SEGMENT3,INSTALL4,UPGRADE5,PRE_AMA6,STREET_7,FROM_ST8,TO_STRE9,ROADCLA10,CNPCLAS11,SURFACE12,OWNER13,DIR_LOW14,INFRA_L15,SEPA_LO16,SEPB_LO17,ORIG_LO18,DIR_HIG19,INFRA_H20,SEPA_HI21,SEPB_HI22,ORIG_HI23,BYLAWED24,EDITOR25,LAST_ED26,UPGRADE27,CONVERT28,starx,stary,ex,ey,cex,cey,len,lennorm,OBJECTID,Join_Count,TARGET_FID,_id1_1,CENTREL2,LINEAR_26,LINEAR_27,LINEAR_28,LINEAR_29,LINEAR_30,FROM_IN31,TO_INTE32,ONEWAY_33,ONEWAY_34,FEATURE35,FEATURE36,JURISDI37,CENTREL38,OBJECTI39,MI_PRIN40,lenkm,Shape_Length
7,8,8,8,2001,2021, ,Bloor St E,Parliament St,Castle Frank Rd, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,0,-79.37123215,43.67189314,-79.3682041,43.67377549,-79.36966176,43.67275343,326.3932137,0,1,13,7,8,8540612,Bloor,St,E,None,Bloor St E,13463022,13462893,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,23956,23956,0.12109692,0.003605639
16,17,17,17,2001,2015, ,Lake Shore Blvd W,Humber Bay Park Rd W,Humber Bay Park East Trl, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.4813491,43.62279026,-79.48274947,43.62092569,-79.48205721,43.62186257,236.5345844,0,2,6,16,17,30127058,Lake Shore,Blvd,W,None,Lake Shore Blvd W,30127056,13469778,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,230880,230880,0.0903299,0.002338794
17,18,18,18,2001,2015, ,Lake Shore Blvd W,37 M E Fleeceline Rd,Humber Bay Park Rd W, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.48274947,43.62092569,-79.48512645,43.61995029,-79.48388336,43.62025523,225.9558743,0,3,4,17,18,14660388,Lake Shore,Blvd,W,None,Lake Shore Blvd W,13469793,13469825,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,51828,51828,0.200543727,0.002615321
18,19,19,19,2001,2015, ,Lake Shore Blvd W,50.7 M E Louisa St,37 M E Fleeceline Rd, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.48512645,43.61995029,-79.48619319,43.61933736,-79.48572034,43.61974203,112.8140749,0,4,5,18,19,14660388,Lake Shore,Blvd,W,None,Lake Shore Blvd W,13469793,13469825,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,51828,51828,0.200543727,0.001257262
37,38,38,38,2001,0, ,Queens Quay W,Martin Goodman Trl,Bathurst St, , , , , ,Bi-Directional Cycle Track, , , , ,Bi-Directional Cycle Track, , , , , ,2023-01-16T19:53:01, ,2015,-79.4006056,43.63446412,-79.39836554,43.635675,-79.39949108,43.63507963,225.3523515,0,5,12,37,38,30102413,Eireann Quay,None,None,None,Eireann Quay,30102411,13468663,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,239405,239405,0.046580996,0.002546551
38,39,39,39,2001,2016, ,Davenport Rd,Cottingham Rd,Macpherson Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40369012,43.67668014,-79.40524887,43.67782373,-79.40444055,43.67728769,179.4018454,0,6,6,38,39,1140925,Davenport,Rd,None,None,Davenport Rd,13462404,13462201,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,237533,237533,0.180063684,0.00193966
39,40,40,40,2001,2016, ,Elizabeth St,College St,Gerrard St W, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.38641551,43.65817393,-79.38742549,43.66051487,-79.3869205,43.6593444,272.5517943,0,7,7,39,40,7792568,Elizabeth,St,None,TO,Elizabeth St,13465422,13465052,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,18109,18109,0.272551794,0.002549517
40,41,41,41,2001,0, ,Gerrard St E,Yonge St,Church St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2016,-79.38211785,43.65909596,-79.37853555,43.65985789,-79.38032536,43.65947074,301.1264121,0,8,10,40,41,7642005,Gerrard,St,E,None,Gerrard St E,13465225,13465140,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,18338,18338,0.193565384,0.003662574
41,42,42,42,2001,2016, ,Macpherson Ave,Davenport Rd,Poplar Plains Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40298419,43.67684018,-79.40369012,43.67668014,-79.40333715,43.67676016,59.63887765,0,9,6,41,42,10257982,Poplar Plains,Rd,None,None,Poplar Plains Rd,13462372,13462301,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,237553,237553,0.050601657,0.000723844
42,43,43,43,2001,2016, ,Lake Shore Blvd W,Marine Parade Dr,Palace Pier Crt, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.4755406,43.63126263,-79.47691449,43.63026962,-79.47620518,43.63072689,157.8492603,0,10,5,42,43,20031730,Lake Shore,Blvd,W,None,Lake Shore Blvd W,13469208,20031732,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,54353,54353,0.157850272,0.001709879
43,44,44,44,2001,2016, ,Lake Shore Blvd W,157.4 M S/W Marine Parade Dr,Marine Parade Dr, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.47691449,43.63026962,-79.47811935,43.62915994,-79.47754198,43.62974616,157.4347072,0,11,3,43,44,20031731,Lake Shore,Blvd,W,None,Lake Shore Blvd W,20031732,13469442,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,40467,40467,0.377461786,0.001642632
68,69,69,69,2001,2016, ,Boulton Dr,Cottingham Rd,Poplar Plains Rd, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40294185,43.67728235,-79.40381963,43.67802531,-79.40339838,43.67763072,108.9505674,0,12,6,68,69,10257982,Poplar Plains,Rd,None,None,Poplar Plains Rd,13462372,13462301,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,237553,237553,0.050601657,0.001152233
69,70,70,70,2001,2016, ,Poplar Plains Rd,Boulton Dr,Macpherson Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40298419,43.67684018,-79.40294185,43.67728235,-79.40291546,43.67706198,50.07988182,0,13,6,69,70,10257982,Poplar Plains,Rd,None,None,Poplar Plains Rd,13462372,13462301,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,237553,237553,0.050601657,0.000458085
70,71,71,71,2001,0, ,Leaside Bdge,Millwood Rd,Donlands Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.34926716,43.69720393,-79.35142931,43.70088591,-79.35034654,43.69904594,444.690877,0,14,10,70,71,30003734,Leaside,Bdge,None,None,Leaside Bdge,30003732,13458153,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,53530,53530,0.118525928,0.004270141
71,72,72,72,2001,0, ,Pape Ave,Hopedale Ave,Donlands Ave, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.34945372,43.69677071,-79.34926716,43.69720393,-79.34930475,43.69696298,51.75166373,0,15,5,71,72,3232748,Pape,Ave,None,None,Pape Ave,13458569,13458477,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,28857,28857,0.05175157,0.000491445
72,73,73,73,2001,2016, ,Poplar Plains Rd,Cottingham Rd,Boulton Dr, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40294185,43.67728235,-79.40320321,43.67805768,-79.40302321,43.67769063,90.11309165,0,16,5,72,73,10257982,Poplar Plains,Rd,None,None,Poplar Plains Rd,13462372,13462301,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,237553,237553,0.050601657,0.000841448
73,74,74,74,2001,0, ,Prince Arthur Ave,St George St,Bedford Rd, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.39791463,43.6692331,-79.40032004,43.66874159,-79.39911733,43.66898735,201.5374563,0,17,7,73,74,12562232,Prince Arthur,Ave,None,None,Prince Arthur Ave,13463660,13463756,0,Not One-Way,201500,Local,CITY OF TORONTO,None,15862,15862,0.201537456,0.002455109
74,75,75,75,2001,1, ,Steeles Ave E,210.8 M W Beare Rd,Beare Rd, , , , , , , , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, ,2004,-79.18250847,43.85256374,-79.18002327,43.85316882,-79.18126637,43.85286836,210.8272192,0,18,3,74,75,4889373,Steeles,Ave,E,None,Steeles Ave E,13441581,13441580,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,222474,222474,0.82485546,0.002557799
89,90,90,90,2001,2016, ,Lake Shore Blvd W,43.4 M N Shore Breeze Dr,157.4 M S/W Marine Parade Dr, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.4803439,43.6245096,-79.47811935,43.62915994,-79.47923476,43.62683613,548.6028514,0,19,6,89,90,20031731,Lake Shore,Blvd,W,None,Lake Shore Blvd W,20031732,13469442,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,40467,40467,0.377461786,0.005178567
236,237,237,237,2001,2021, ,Colborne Lodge Dr,The Queensway,Lake Shore Blvd W, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.45890248,43.63771044,-79.45938783,43.63953516,-79.45913993,43.63862403,206.5002701,0,20,13,236,237,1147136,Colborne Lodge,Dr,None,None,Colborne Lodge Dr,13468529,13468459,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,20001,20001,0.074362878,0.001888426
240,241,241,241,2001,0, ,Millwood Rd,22.1 M W Hepc,83.8 M E Hepc, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.35490253,43.70202357,-79.35358968,43.70205445,-79.35424636,43.70205223,105.9542818,0,21,2,240,241,30066498,Millwood,Rd,None,None,Millwood Rd,30066496,13457776,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,175348,175348,0.146316608,0.001313702
273,274,274,274,2001,0, ,Millwood Rd,Leaside Bdge,83.8 M E Hepc, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.35358968,43.70205445,-79.35142931,43.70088591,-79.35240176,43.70171102,226.7070223,0,22,6,273,274,30098161,Millwood,Rd,None,None,Millwood Rd,13457776,30098160,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,208905,208905,0.111559155,0.002538062
274,275,275,275,2001,2019, ,Royal York Rd,Eglinton Ave West Trl,Ashley Park Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.5185088,43.66338419,-79.5265164,43.68212361,-79.52250313,43.67275839,2180.636539,0,23,39,274,275,30006876,Royal York,Rd,None,None,Royal York Rd,13462244,30006875,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,227066,227066,0.330398243,0.020389653
275,276,276,276,2001,0, ,Royal York Rd,Braecrest Ave,La Rose Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.52741324,43.68415435,-79.53236821,43.69531312,-79.52988546,43.68973606,1302.617691,0,24,28,275,276,9345161,Royal York,Rd,None,None,Royal York Rd,13460579,13460207,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,5290,5290,0.238623929,0.012209993
276,277,277,277,2001,0, ,Sherbourne St N,Maple Ave,Bloor St E, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.37685429,43.67235855,-79.37786316,43.6750329,-79.37734519,43.67370068,308.1104315,0,25,16,276,277,2981312,Sherbourne,St,N,None,Sherbourne St N,13462748,13462628,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,15799,15799,0.080991525,0.002858891
316,317,317,317,2001,0, ,Bedford Rd,Davenport Rd,Prince Arthur Ave, , , , , ,Signed Route (No Pavement Markings), , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.39791463,43.6692331,-79.39984312,43.67437474,-79.39879407,43.67183916,594.6952345,0,26,20,316,317,1141552,Bedford,Rd,None,None,Bedford Rd,13462964,13462785,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,15491,15491,0.118225395,0.00553477
317,318,318,318,2001,0, ,Poplar Plains Rd,St Clair Ave W,Cottingham Rd, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40320321,43.67805768,-79.40388319,43.68614493,-79.40229531,43.6823941,938.2020139,0,27,25,317,318,9109696,Poplar Plains,Rd,None,None,Poplar Plains Rd,13460863,13460681,1,Follow-Digitization,201400,Collector,CITY OF TORONTO,None,239975,239975,0.111297306,0.008744101
318,319,319,319,2001,0, ,Bay St,Davenport Rd,Yorkville Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.39019979,43.67135687,-79.39118507,43.67349628,-79.39063841,43.67244568,251.1128447,0,28,12,318,319,10664090,Bay,St,None,None,Bay St,13463253,13463143,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,238245,238245,0.090775281,0.002362486
319,320,320,320,2001,0, ,Bayview Ave,400 M S  Arjay Cres,42.2 M N St Leonard's Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.38054186,43.72587445,-79.3811806,43.73246606,-79.38165368,43.72925715,772.4174457,0,29,10,319,320,12691166,Bayview,Ave,None,"TO, EY, NY",Bayview Ave,13453897,13453408,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,43951,43951,0.308179345,0.007226914
320,321,321,321,2001,0, ,Davenport Rd,Macpherson Ave,Bedford Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.39984312,43.67437474,-79.40298419,43.67684018,-79.4016663,43.67521407,397.9089225,0,30,12,320,321,11034642,Davenport,Rd,None,None,Davenport Rd,13462785,13462552,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,15490,15490,0.277864039,0.004261731
321,322,322,322,2001,2018, ,Davenport Rd,Bedford Rd,Blackmore St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.39118507,43.67349628,-79.39984312,43.67437474,-79.39563182,43.67492283,783.8650984,0,31,27,321,322,14014346,Davenport,Rd,None,None,Davenport Rd,14014347,13462785,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,227578,227578,0.142382748,0.009259867
322,323,323,323,2001,0, ,Jones Ave,Gerrard St E,Queen St E, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.33281451,43.66267144,-79.33560892,43.66925084,-79.33421844,43.66595798,765.0612515,0,32,27,322,323,30080650,Jones,Ave,None,None,Jones Ave,30080648,20038918,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,189689,189689,0.143392628,0.007149701
395,396,396,396,2001,2019, ,Boulton Dr,Russel Hill Rd,Cottingham Rd, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40381963,43.67802531,-79.40305312,43.68089445,-79.40400241,43.67959158,370.9281537,0,33,7,395,396,1140828,Boulton,Dr,None,None,Boulton Dr,13462301,13462164,-1,Against-Digitization,201400,Collector,CITY OF TORONTO,None,237546,237546,0.112283307,0.003586856
396,397,397,397,2001,0, ,Grace St,Bloor St W,Harbord St, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.4175132,43.65993459,-79.41887047,43.66347295,-79.41817187,43.66171117,408.1097935,0,34,13,396,397,30097934,Grace,St,None,TO,Grace St,30097930,30097933,-1,Against-Digitization,201400,Collector,CITY OF TORONTO,None,208749,208749,0.257174545,0.003790047
397,398,398,398,2001,2019, ,Russell Hill Rd,St Clair Ave W,Boulton Dr, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40305312,43.68089445,-79.4079049,43.68534845,-79.40676522,43.68259003,707.2345978,0,35,10,397,398,30136428,Boulton,Dr,None,None,Boulton Dr,14659649,13461637,-1,Against-Digitization,201400,Collector,CITY OF TORONTO,None,237229,237229,0.110598667,0.007363855
398,399,399,399,2001,0, ,St George St,Dupont St,Lowther Ave, , , , , ,Signed Route (No Pavement Markings), , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40076395,43.66981576,-79.40360031,43.67559478,-79.40201306,43.67280011,684.7558698,0,36,11,398,399,12562216,St George,St,None,TO,St George St,13463024,13462741,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,237161,237161,0.21662159,0.006482817
399,400,400,400,2001,0, ,St George St,Lowther Ave,College St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.39590261,43.65870042,-79.40076395,43.66981576,-79.39848072,43.66419834,1302.842399,0,37,23,399,400,30115388,St George,St,None,TO,St George St,13464290,13463947,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,221894,221894,0.240992168,0.012223019
401,402,402,402,2001,2018, ,College St,Manning Ave,Bay St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.38585495,43.66081566,-79.41261658,43.65546251,-79.3992212,43.65806353,2241.255498,0,38,71,401,402,1143831,College,St,None,TO,College St,13465052,13465166,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,226838,226838,0.258069251,0.027305748
402,403,403,403,2001,2020, ,Davenport Rd,Old Weston Rd,Foundry Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.44941945,43.67137402,-79.46232927,43.67102058,-79.45582209,43.67033282,1072.483968,0,39,43,402,403,20058753,Davenport,Rd,None,None,Davenport Rd,20058692,13463441,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,7474,7474,0.13899885,0.013116391
403,404,404,404,2001,0, ,Davenport Rd,Madison Ave,Cottingham Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.40524887,43.67782373,-79.40697828,43.67773272,-79.40612859,43.67796591,147.7201939,0,40,8,403,404,7986376,Davenport,Rd,None,None,Davenport Rd,13462179,13462235,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,14528,14528,0.100782973,0.001784464
404,405,405,405,2001,0, ,Gerrard St E,Berkeley St,Parliament St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.3685391,43.6620435,-79.36703554,43.66195037,-79.3677837,43.66205704,124.0341188,0,41,11,404,405,4014966,Gerrard,St,E,None,Gerrard St E,13464770,13464755,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,28266,28266,0.030290746,0.001521679
405,406,406,406,2001,0, ,Gerrard St E,River St,Blackburn St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.35924495,43.66370745,-79.35529341,43.66478172,-79.35727408,43.66426207,340.3860068,0,42,16,405,406,1143127,Gerrard,St,E,None,Gerrard St E,13464490,13464368,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,24021,24021,0.205447623,0.004095321
406,407,407,407,2001,2020, ,Gerrard St W,Bay St,Yonge St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.38211785,43.65909596,-79.38489385,43.65851072,-79.38350585,43.65880334,233.1743098,0,43,7,406,407,7730035,Gerrard,St,W,None,Gerrard St W,13465263,13465361,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,239956,239956,0.23317459,0.002837022
407,408,408,408,2001,0, ,Lake Shore Blvd W,Brown's Line,Twenty Second St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.52131849,43.59720671,-79.53868321,43.59327466,-79.53000742,43.59526945,1468.827712,0,44,36,407,408,7632680,Lake Shore,Blvd,W,None,Lake Shore Blvd W,13470586,13470599,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,34,34,0.222070811,0.017805436
429,430,430,430,2001,2004, ,Steeles Ave E,143.5 M W Milliken Park Trl,Markham Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.27283498,43.83158756,-79.25118915,43.83659899,-79.26201336,43.83409876,1827.872839,0,45,9,429,430,14228231,Steeles,Ave,E,None,Steeles Ave E,13441626,14228233,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,219915,219915,0.153038805,0.022218636
430,431,431,431,2001,0, ,Steeles Ave E,Beare Rd,Scarborough Pickering Town Line, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,2023-01-16T19:53:01, ,2004,-79.18002327,43.85316882,-79.17029152,43.85545719,-79.17515959,43.85432242,822.7343624,0,46,5,430,431,4889373,Steeles,Ave,E,None,Steeles Ave E,13441581,13441580,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,222474,222474,0.82485546,0.009997223
470,471,471,471,2001,2015, ,West Rd,High Park Trl,Colborne Lodge Dr, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.46516663,43.64522597,-79.46517055,43.65341242,-79.4678822,43.64886245,1118.860839,0,47,4,470,471,7730495,Colborne Lodge,Dr,None,None,Colborne Lodge Dr,13467669,13467626,0,Not One-Way,201600,Other,CITY OF TORONTO,None,125689,125689,0.053310823,0.011135816
480,481,481,481,2001,0, ,Sherbourne St,Bloor St E,Front St E, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2018,-79.36789247,43.65039473,-79.37685429,43.67235855,-79.37231027,43.66140319,2545.857072,0,48,61,480,481,10923460,Sherbourne,St,None,None,Sherbourne St,13464607,13463953,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,24887,24887,0.45311276,0.023733356
484,485,485,485,2001,0, ,Remembrance Dr,Lake Shore Blvd W,Martin Goodman Trl, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2014,-79.40844484,43.63434059,-79.40874585,43.63444297,-79.4085873,43.63440863,27.26358714,0,49,3,484,485,30125351,Lake Shore,Blvd,W,None,Lake Shore Blvd W,13468803,13469034,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,229255,229255,0.303517705,0.000321207
485,486,486,486,2001,2019, ,Harbord St,Ossignton Ave,St. George St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.3984447,43.66410945,-79.42431508,43.65854706,-79.41135197,43.66118949,2185.360795,0,50,116,485,486,14066246,Harbord,St,None,None,Harbord St,13464524,13464619,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,17624,17624,0.155041282,0.026530991
486,487,487,487,2001,0, ,Wellesley St E,Yonge St,Sherbourne St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2014,-79.38459589,43.66493728,-79.37468392,43.66709451,-79.37963803,43.66600719,849.3845588,0,51,24,486,487,7731365,Wellesley,St,E,None,Wellesley St E,13464212,13464096,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,18607,18607,0.219774625,0.010248971
487,488,488,488,2008,0, ,Wellesley St W,Queen's Park Trl,Yonge St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2014,-79.38459589,43.66493728,-79.39269744,43.66316187,-79.38864391,43.66403739,682.6127936,0,52,21,487,488,8128875,Wellesley,St,W,None,Wellesley St W,13464427,13464585,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,17842,17842,0.29273025,0.008294073
489,490,490,490,2001,2015, ,Colborne Lodge Dr,West Rd,Centre Rd, , , , , , , , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.46474768,43.64559491,-79.46517055,43.65341242,-79.46487144,43.64950376,882.3844291,0,53,9,489,490,30042183,Colborne Lodge,Dr,None,None,Colborne Lodge Dr,13467626,30042182,1,Follow-Digitization,201600,Other,CITY OF TORONTO,None,202467,202467,0.246481264,0.00804982
490,491,491,491,2001,0, ,Stephen Dr,Berry Rd,Cloverhill Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, ,2015,-79.48628785,43.63517075,-79.48723471,43.6375157,-79.48674593,43.63634929,271.5250766,0,54,9,490,491,7940173,Stephen,Dr,None,None,Stephen Dr,13468705,13468601,0,Not One-Way,201400,Collector,CITY OF TORONTO,None,20334,20334,0.124978992,0.002529158
491,492,492,492,2001,0, ,Lower Sherbourne St,Front St E,50 M N Queens Quay Blvd East, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2018,-79.36570074,43.6455685,-79.36789247,43.65039473,-79.36681544,43.64797314,564.8802358,0,55,20,491,492,2880034,Lower Sherbourne,St,None,None,Lower Sherbourne St,13467148,13466909,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,19645,19645,0.166828679,0.0053044
512,513,513,513,2001,2016, ,Beverley St,College St,Queen St W, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,2023-01-16T19:53:01, , ,-79.39215599,43.64968115,-79.39590261,43.65870042,-79.39401941,43.65419503,1046.718802,0,56,32,512,513,1144296,Beverley,St,None,None,Beverley St,13465640,13465356,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,219560,219560,0.200945926,0.009767111
513,514,514,514,2001,2021, ,Danforth Ave,Cambridge Ave,Broadview Ave, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2018,-79.36044803,43.67590396,-79.35887257,43.67620233,-79.35966042,43.67605375,131.3018803,0,57,8,513,514,3841911,Danforth,Ave,None,None,Danforth Ave,13462430,13462393,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,28785,28785,0.085578555,0.001603474
514,515,515,515,2001,0, ,Gerrard St E,Jarvis St,Sherbourne St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, ,2016,-79.37589958,43.66043938,-79.37223613,43.66122691,-79.37406764,43.66083219,308.2013999,0,58,14,514,515,30057696,Gerrard,St,E,None,Gerrard St E,13464956,30057695,0,Not One-Way,201300,Minor Arterial,CITY OF TORONTO,None,148681,148681,0.10382344,0.003747275
515,516,516,516,2001,0, ,Prince Edward Viaduct,Bloor St E,Cambridge Ave, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,2023-01-16T19:53:01, , ,-79.36673589,43.67466946,-79.36044803,43.67590396,-79.36359166,43.6752851,525.4099303,0,59,15,515,516,1141214,Prince Edward Viaduct,None,None,None,Prince Edward Viaduct,13462661,13462592,0,Not One-Way,201200,Major Arterial,CITY OF TORONTO,None,24244,24244,0.166993916,0.006408713
