OID_,ID_CITY,bike_rout0,street_na0,bikeway_t0,subtype,status,street_se0,overall_d0,bikeway_d0,vehicle_d0,speed_lim0,surface_t0,aaa_netwo0,aaa_segme0,w_n_bound0,e_s_bound0,snow_remo0,year_of_c0,construct0,upgrade_y0,notes,ID_DATAENTRY,ID_ROUTE,DPR_CHECK_FLAG,DPR_ENTRY,DPR_EXCL_FLAG,DPR_EXCL1318_REASON,DPR_INCL_1318,DPR_INCL_LEN_1023,DPR_ORDER,LOC_ADJ_IN_ROUTE,LOC_FROM_STREET,LOC_ORIG_ROUTE_NAME,LOC_ORIG_STREET_NAME,LOC_ROUTE_NAME,LOC_STREET_NAME,LOC_TO_STREET,ATR_AAA_NETWORK,ATR_AAA_SEGMENT,ATR_BIKEWAY_DIRECTION,ATR_ES_BOUNDTYPE,ATR_ORIG_TYPE,ATR_OVERALL_DIRECTION,ATR_SEGMENT_LENGTH,ATR_SEGMENT_TYPE,ATR_SNOW_REMOVAL,ATR_SPEEDLIMIT_CITY,ATR_STATUS,ATR_SUBTYPE,ATR_SURFACE_TYPE,ATR_TYPE_CITY,ATR_TYPE_CURRENT,ATR_VEHICLE_DIRECTION,ATR_WN_BOUNDTYPE,INST_MIN_TRANSFORM,INST_COMMENTS,INST_DT_METHOD,INST_INCL_1318,INST_MIN_HTYPE,INST_TYPE,INST_WINDOW,INST_YR,INST_YR_ORIG,UPGR1_MIN_TRANSFORM,UPGR1_COMMENTS,UPGR1_DT_METHOD,UPGR1_INCL1318,UPGR1_MIN_HTYPE,UPGR1_TYPE,UPGR1_WINDOW,UPGR1_YR,UPGR1_YR_CITY,UPGR1_YR_ORIG,UPGR2_COMMENTS,UPGR2_DT_METHOD,UPGR2_MIN_TYPE,UPGR2_TYPE,UPGR2_WINDOW,UPGR2_YR,GENERAL_COMMENTS,CONSTRUCTION_NOTE,NOTES_ORIG,GEO_2D_POINT,GEO_JSON_GROUP,GEO_JSON_INDIV,GEO_XY_STRING,Categorized_Infra,MAP_LINK
2812,295162,York,York Ave,Protected Bike Lanes,R,Active,Residential,EW,BD,OW,30,Paved,YES,YES,Protected Bike Lanes,Protected Bike Lanes,Yes,2014, , , ,775,VAN-R74,N,COMPLETE,N, ,Yes,Y,780,Y,Cypress St.,York,York Ave,York,York Ave,Chestnut St.,YES,YES,BD,Protected Bike Lanes,Protected Bike Lanes,EW,103.4239994,Residential,Yes,30,Active,R,Paved,Protected Bike Lanes,Protected Bike Lanes,OW,Protected Bike Lanes,NtoPBL,"Google maps shows 2 way PBL with concrete barriers and trees, no upgrade seen since 2014. https://www.google.com/maps/@49.2715702,-123.1474726,3a,90y,129.84h,90.55t/data=!3m7!1e1!3m5!1sVkxB9tBOdMUlygAHTKFHtQ!2e0!5s20120501T000000!7i13312!8i6656 April 201",BLOG,Y,PBL,PBL-2,14-Apr,2014,2014, ,"Google maps shows no upgrades since 2014 https://www.google.com/maps/@49.2715702,-123.1474726,3a,90y,129.84h,90.55t/data=!3m7!1e1!3m5!1sVkxB9tBOdMUlygAHTKFHtQ!2e0!5s20120501T000000!7i13312!8i6656", ,N, , , ,,,, , , , , ,, , , ,"49.27156897119795, -123.14712548087466","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.14783613744616, 49.2715804967694], [-123.14641487553718, 49.271557446457166], [-123.14641482469273, 49.271557452818236]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.14783613744616, 49.2715804967694], [-123.14641487553718, 49.271557446457166], [-123.14641482469273, 49.271557452818236]] }","[-123.14783613744616, 49.2715804967694], [-123.14641487553718, 49.271557446457166], [-123.14641482469273, 49.271557452818236]",0,https://www.google.com/maps/place/49.27156897119795 -123.14712548087466
3616,297559,York,York Ave,Protected Bike Lanes,SL,Active,Residential,EW,BD,OW,30,Paved,YES,YES,Protected Bike Lanes,Protected Bike Lanes,Yes,2014, , , ,774,VAN-R74,N,COMPLETE,N, ,Yes,Y,779,Y,Maple St.,York,York Ave,York,York Ave,Cypress St.,YES,YES,BD,Protected Bike Lanes,Protected Bike Lanes,EW,174.6187115,Residential,Yes,30,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,OW,Protected Bike Lanes,NtoPBL,"Google maps shows 2 way PBL with concrete curb barriers.  no upgrade seen since 2014. https://www.google.com/maps/@49.2716191,-123.1488056,3a,75y,263.29h,78.76t/data=!3m6!1e1!3m4!1sN9PbvyBZSKkHQm92JpaL9g!2e0!7i16384!8i8192 April 2014 (see image): https:/",BLOG,Y,PBL,PBL-2,14-Apr,2014,2014, ,"Google maps shows no upgrades since 2014 https://www.google.com/maps/@49.2716003,-123.1485058,3a,75y,267.6h,85.23t/data=!3m7!1e1!3m5!1sDdgt6N2pYwO2U2mzCI2npQ!2e0!5s20120501T000000!7i13312!8i6656", ,N, , , ,,,, , , , , ,, , , ,"49.27159982698048, -123.14903599974366","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.15023586204117, 49.27161915719155], [-123.14783613744616, 49.2715804967694]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.15023586204117, 49.27161915719155], [-123.14783613744616, 49.2715804967694]] }","[-123.15023586204117, 49.27161915719155], [-123.14783613744616, 49.2715804967694]",0,https://www.google.com/maps/place/49.27159982698048 -123.14903599974366
738,296962,Mosaic,Woodland Drive,Protected Bike Lanes, ,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,Yes,1999,"Overpass is car free, so PBL",2021, ,773,VAN-R73,N,COMPLETE,N,No Upgrades in period,No,Y,778,Y,Grandview Hwy,Mosaic,Woodland Drive,Mosaic,Woodland Drive,E 7th Ave,NO,NO,2W,Local Street,Protected Bike Lanes,NS,90.15633982,Residential,Yes,30,Active, ,Paved,Protected Bike Lanes,Protected Bike Lanes,2W,Local Street, ,"Google maps shows no presence of protected bike lane current to before pandemic, but see change after pandemic: https://www.google.com/maps/@49.2643262,-123.0736285,3a,75y,355.83h,79.78t/data=!3m6!1e1!3m4!1s2dNsy2GwSXQL1WfMDj6yxA!2e0!7i16384!8i8192",N,N,None,SSNDL, ,1999,1999, ,"Road Closed to cars, bike only. https://cityhallwatch.wordpress.com/2021/12/20/traffic-calming-measures-woodland-and-n-grandview-hwy/",BLOG,N,PBL,PBL-2,21-Dec,2021,2021,2021, , , , , ,, ,"Overpass is car free, so PBL", ,"49.26460841037318, -123.07358782078738","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.07358015268335, 49.26501386646289], [-123.07358574656789, 49.26471785866047], [-123.07359549566334, 49.26420295441156]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.07358015268335, 49.26501386646289], [-123.07358574656789, 49.26471785866047], [-123.07359549566334, 49.26420295441156]] }","[-123.07358015268335, 49.26501386646289], [-123.07358574656789, 49.26471785866047], [-123.07359549566334, 49.26420295441156]",2,https://www.google.com/maps/place/49.26460841037318 -123.07358782078738
2664,298377,King Edward,W King Edward,Painted Lanes,PBP,Active,Arterial,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,Yes,2015, , , ,770,VAN-R72,N,COMPLETE,N, ,Yes,Y,777,Y,Install from Quesnel Dr,King Edward,W King Edward,King Edward,W King Edward,Install to Angus Dr.,NO,NO,2W,Painted Lanes,Painted Lanes,EW,20.56527133,Arterial,Yes,50,Active,PBP,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,NtoPL,"August 2015 - Arbutus Ridge - West King Edward Avenue Road Improvement Project - August 7th 2015, Quesnel Dr to Granville St. https://dailyhive.com/vancouver/vancouver-summer-road-closures-2015",NEWS,Y,PL,PL,15-Aug,2015,2015, ,Spring 2023 map shows its still a bike lane throughout the entire route: https://vancouver.ca/files/cov/map-cycling-vancouver.pdf, ,N, , , ,,,, , , , , ,, , , ,"49.251097191131294, -123.15589310578144","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.1557716660708, 49.25114447199991], [-123.15601454549206, 49.25104991026268]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.1557716660708, 49.25114447199991], [-123.15601454549206, 49.25104991026268]] }","[-123.1557716660708, 49.25114447199991], [-123.15601454549206, 49.25104991026268]",0,https://www.google.com/maps/place/49.251097191131294 -123.15589310578144
1799,296508,King Edward,W King Edward,Painted Lanes,NB,Active,Arterial,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,Yes,2015, , ,"Westbound - NB, Eastbound - PBT",769,VAN-R72,N,COMPLETE,N, ,Yes,Y,776,Y,Install from Quesnel Dr,King Edward,W King Edward,King Edward,W King Edward,Install to Angus Dr.,NO,NO,2W,Painted Lanes,Painted Lanes,EW,27.17406411,Arterial,Yes,50,Active,NB,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,NtoPL,"August 2015 - Arbutus Ridge - West King Edward Avenue Road Improvement Project - August 7th 2015, Quesnel Dr to Granville St. https://dailyhive.com/vancouver/vancouver-summer-road-closures-2015",NEWS,Y,PL,PL,15-Aug,2015,2015, ,Spring 2023 map shows its still a bike lane throughout the entire route: https://vancouver.ca/files/cov/map-cycling-vancouver.pdf, ,N, , , ,,,, , , , , ,, , ,"Westbound - NB, Eastbound - PBT","49.25151418763495, -123.15292714951585","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.15274946454628, 49.251475444216744], [-123.15281997108522, 49.25149240862626], [-123.15286903381504, 49.251503389857916], [-123.15291836966824, 49.25151381300315], [-123.1529679","{ ""type"": ""LineString"", ""coordinates"": [[-123.15274946454628, 49.251475444216744], [-123.15281997108522, 49.25149240862626], [-123.15286903381504, 49.251503389857916], [-123.15291836966824, 49.25151381300315], [-123.1529679785877, 49.251523660071186], [-","[-123.15274946454628, 49.251475444216744], [-123.15281997108522, 49.25149240862626], [-123.15286903381504, 49.251503389857916], [-123.15291836966824, 49.25151381300315], [-123.1529679785877, 49.251523660071186], [-123.15301784688624, 49.25153294907028],",0,https://www.google.com/maps/place/49.25151418763495 -123.15292714951585
1798,296507,King Edward,W King Edward,Painted Lanes,NB,Active,Arterial,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,Yes,2015, , ,"Westbound - NB, Eastbound - PBT",768,VAN-R72,N,COMPLETE,N, ,Yes,Y,775,Y,Install from Quesnel Dr,King Edward,W King Edward,King Edward,W King Edward,Install to Angus Dr.,NO,NO,2W,Painted Lanes,Painted Lanes,EW,70.38487016,Arterial,Yes,50,Active,NB,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,NtoPL,"August 2015 - Arbutus Ridge - West King Edward Avenue Road Improvement Project - August 7th 2015, Quesnel Dr to Granville St. https://dailyhive.com/vancouver/vancouver-summer-road-closures-2015",NEWS,Y,PL,PL,15-Aug,2015,2015, ,Spring 2023 map shows its still a bike lane throughout the entire route: https://vancouver.ca/files/cov/map-cycling-vancouver.pdf, ,N, , , ,,,, , , , , ,, , ,"Westbound - NB, Eastbound - PBT","49.25133446377229, -123.1523265215732","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.1519168323759, 49.25115886120791], [-123.15192100569537, 49.251161141407636], [-123.15196136018541, 49.2511824421074], [-123.1520022904318, 49.25120328417841], [-123.15204375515","{ ""type"": ""LineString"", ""coordinates"": [[-123.1519168323759, 49.25115886120791], [-123.15192100569537, 49.251161141407636], [-123.15196136018541, 49.2511824421074], [-123.1520022904318, 49.25120328417841], [-123.15204375515265, 49.251223648784375], [-123","[-123.1519168323759, 49.25115886120791], [-123.15192100569537, 49.251161141407636], [-123.15196136018541, 49.2511824421074], [-123.1520022904318, 49.25120328417841], [-123.15204375515265, 49.251223648784375], [-123.15208576808855, 49.2512435359067], [-12",0,https://www.google.com/maps/place/49.25133446377229 -123.1523265215732
3251,296465,King Edward,W King Edward,Painted Lanes,PBP,Active,Arterial,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,Yes,2015, , , ,767,VAN-R72,N,COMPLETE,N, ,Yes,Y,774,Y,Install from Quesnel Dr,King Edward,W King Edward,King Edward,W King Edward,Install to Angus Dr.,NO,NO,2W,Painted Lanes,Painted Lanes,EW,265.9675536,Arterial,Yes,50,Active,PBP,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,NtoPL,"August 2015 - Arbutus Ridge - West King Edward Avenue Road Improvement Project - August 7th 2015, Quesnel Dr to Granville St. https://dailyhive.com/vancouver/vancouver-summer-road-closures-2015",NEWS,Y,PL,PL,15-Aug,2015,2015, ,Spring 2023 map shows its still a bike lane throughout the entire route: https://vancouver.ca/files/cov/map-cycling-vancouver.pdf, ,N, , , ,,,, , , , , ,, , , ,"49.24916405382753, -123.16085881507044","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.15928850483087, 49.24977573912299], [-123.16242912531003, 49.248552368532074]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.15928850483087, 49.24977573912299], [-123.16242912531003, 49.248552368532074]] }","[-123.15928850483087, 49.24977573912299], [-123.16242912531003, 49.248552368532074]",0,https://www.google.com/maps/place/49.24916405382753 -123.16085881507044
1586,295842,King Edward,W King Edward,Painted Lanes,PBP,Active,Arterial,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,Yes,2015, , ,"Westbound - PBPT, Eastbound - PBP",766,VAN-R72,N,COMPLETE,N, ,Yes,Y,773,Y,Install from Quesnel Dr,King Edward,W King Edward,King Edward,W King Edward,Install to Angus Dr.,NO,NO,2W,Painted Lanes,Painted Lanes,EW,163.7343372,Arterial,Yes,50,Active,PBP,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,NtoPL,"August 2015 - Arbutus Ridge - West King Edward Avenue Road Improvement Project - August 7th 2015, Quesnel Dr to Granville St. https://dailyhive.com/vancouver/vancouver-summer-road-closures-2015",NEWS,Y,PL,PL,15-Aug,2015,2015, ,Spring 2023 map shows its still a bike lane throughout the entire route: https://vancouver.ca/files/cov/map-cycling-vancouver.pdf, ,N, , , ,,,, , , , , ,, , ,"Westbound - PBPT, Eastbound - PBP","49.24852755778697, -123.16875600771198","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.16788028311461, 49.248088211804], [-123.1679571873559, 49.24808852190383], [-123.16962262239011, 49.24900215515382]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.16788028311461, 49.248088211804], [-123.1679571873559, 49.24808852190383], [-123.16962262239011, 49.24900215515382]] }","[-123.16788028311461, 49.248088211804], [-123.1679571873559, 49.24808852190383], [-123.16962262239011, 49.24900215515382]",0,https://www.google.com/maps/place/49.24852755778697 -123.16875600771198
2432,298376,King Edward,W King Edward,Painted Lanes,PBP,Active,Arterial,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,Yes,2015, , ,"Westbound - PBT, Eastbound - PBP",765,VAN-R72,N,COMPLETE,N, ,Yes,Y,772,Y,Install from Quesnel Dr,King Edward,W King Edward,King Edward,W King Edward,Install to Angus Dr.,NO,NO,2W,Painted Lanes,Painted Lanes,EW,74.04599306,Arterial,Yes,50,Active,PBP,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,NtoPL,"August 2015 - Arbutus Ridge - West King Edward Avenue Road Improvement Project - August 7th 2015, Quesnel Dr to Granville St. https://dailyhive.com/vancouver/vancouver-summer-road-closures-2015",NEWS,Y,PL,PL,15-Aug,2015,2015, ,Spring 2023 map shows its still a bike lane throughout the entire route: https://vancouver.ca/files/cov/map-cycling-vancouver.pdf, ,N, , , ,,,, , , , , ,, , ,"Westbound - PBT, Eastbound - PBP","49.25131287132372, -123.15532922764568","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.15488133530785, 49.25146530541611], [-123.15491752283515, 49.25145562300946], [-123.15496377640281, 49.25144261684665], [-123.15500968475197, 49.25142907951049], [-123.155055213","{ ""type"": ""LineString"", ""coordinates"": [[-123.15488133530785, 49.25146530541611], [-123.15491752283515, 49.25145562300946], [-123.15496377640281, 49.25144261684665], [-123.15500968475197, 49.25142907951049], [-123.15505521356232, 49.251415021841765], [-1","[-123.15488133530785, 49.25146530541611], [-123.15491752283515, 49.25145562300946], [-123.15496377640281, 49.25144261684665], [-123.15500968475197, 49.25142907951049], [-123.15505521356232, 49.251415021841765], [-123.15510037657107, 49.25140044292291], [",0,https://www.google.com/maps/place/49.25131287132372 -123.15532922764568
1209,298375,King Edward,W King Edward,Painted Lanes,PBP,Active,Arterial,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,Yes,2015, , , ,764,VAN-R72,N,COMPLETE,N, ,Yes,Y,771,Y,Install from Quesnel Dr,King Edward,W King Edward,King Edward,W King Edward,Install to Angus Dr.,NO,NO,2W,Painted Lanes,Painted Lanes,EW,128.4164145,Arterial,Yes,50,Active,PBP,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,NtoPL,"August 2015 - Arbutus Ridge - West King Edward Avenue Road Improvement Project - August 7th 2015, Quesnel Dr to Granville St. https://dailyhive.com/vancouver/vancouver-summer-road-closures-2015",NEWS,Y,PL,PL,15-Aug,2015,2015, ,Spring 2023 map shows its still a bike lane throughout the entire route: https://vancouver.ca/files/cov/map-cycling-vancouver.pdf, ,N, , , ,,,, , , , , ,, , , ,"49.25007090969803, -123.1585301499966","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.15777179556727, 49.25036608136262], [-123.15928846914551, 49.2497757517655], [-123.15928850483087, 49.24977573912299]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.15777179556727, 49.25036608136262], [-123.15928846914551, 49.2497757517655], [-123.15928850483087, 49.24977573912299]] }","[-123.15777179556727, 49.25036608136262], [-123.15928846914551, 49.2497757517655], [-123.15928850483087, 49.24977573912299]",0,https://www.google.com/maps/place/49.25007090969803 -123.1585301499966
