id,street,status,road_type,road_type_recode,install_year,install_type,verify_install_year,verify_install_date,verify_install_type,verify_install_comment,verify_upgrade1_year,verify_upgrade1_date,verify_upgrade1_type,verify_upgrade1_comment,verify_upgrade2_year,verify_upgrade2_date,verify_upgrade2_type,verify_upgrade2_comment,verify_misclass,no_verify_install_type,geometry_len_km,geometry_crs,geometry,install_type2,verify_final_type,verify_final_year
294725,Highbury,Active,Residential,Local,2006,Local Street,2006,,LSB,,,,,,,,,,,Local Street,0.09544546754253057,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1876 49.26866, -123.1876 49.26866, -123.1877 49.2678, -123.1877 49.2678)",LSB,,
294726,Highbury,Active,Residential,Local,2006,Local Street,2006,,LSB,,,,,,,,,,,Local Street,0.04863464005327764,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1876 49.26955, -123.1876 49.26911)",LSB,,
294731,W 8th Ave,Active,Residential,Local,1994,Local Street,1994,,LSB,,,,,,,,,,,Local Street,0.057550762182589386,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1778 49.2651, -123.1786 49.26512)",LSB,,
294732,W 8th Ave,Active,Residential,Local,1994,Local Street,1994,,LSB,,,,,,,,,,,Local Street,0.13990807627049315,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1858 49.26523, -123.1878 49.26526)",LSB,,
294733,Off Street,Active,Lane,Local,2003,Protected Bike Lanes,,,,,,,,,,,,,Offroad,,0.014349499844114037,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0885 49.26982, -123.0884 49.26988, -123.0884 49.26988)",PBL,,
294736,W 5th Ave,Active,Residential,Local,2009,Local Street,2009,,LSB,,,,,,,,,,,Local Street,0.06892526305824395,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1127 49.26663, -123.1127 49.26663, -123.1137 49.26665)",LSB,,
294737,W 8th Ave,Active,Residential,Local,1994,Local Street,1994,,LSB,,,,,,,,,,,Local Street,0.1648361338762233,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1624 49.26489, -123.1645 49.26492, -123.1646 49.26491)",LSB,,
294738,W 7th Ave,Active,Residential,Local,1994,Local Street,1994,,LSB,,,,,,,,,,,Local Street,0.023379900747098344,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1382 49.26534, -123.1385 49.26535)",LSB,,
294739,W 7th Ave,Active,Residential,Local,1994,Local Street,1994,,LSB,,,,,,,,,,,Local Street,0.05171589567461507,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1385 49.26535, -123.1392 49.26536)",LSB,,
294742,W 7th Ave,Active,Residential,Local,1994,Local Street,1994,,LSB,,,,,,,,,,,Local Street,0.0948568747319964,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.13 49.26521, -123.1313 49.26523)",LSB,,
294746,SW Marine Drive,Active,Residential,Local,1997,Painted Lanes,1997,Pre-2007,PL,"pl both sides, installed prior to 2007, no upgrades since: https://www.google.com/maps/@49.2351588,-123.1978631,3a,75y,313.95h,84.1t/data=!3m7!1e1!3m5!1sjWOykhQW60Jz97fa5Dg0zQ!2e0!5s20070901T000000!7i3328!8i1664 .",,,,,,,,,,,0.025002130739280412,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1981 49.23525, -123.1984 49.23534)",PL,PL,1997
294748,W 39th Ave,Active,Residential,Local,1998,Local Street,1998,,LSB,,,,,,,,,,,Local Street,0.10337870965220619,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1923 49.23646, -123.193 49.23646, -123.1937 49.23646)",LSB,,
294758,Kingsway,Legacy,Sec Arterial,Collector,1998,Shared Lanes,,,,,,,,,,,,,,,0.004205410663278938,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0489 49.23762, -123.0488 49.2376)",SR,,
294759,PANDORA ST,Active,Residential,Local,2021,Local Street,2021,,LSB,,,,,,,,,,,Local Street,0.15372842892922806,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0703 49.28309, -123.0682 49.28306)",LSB,,
294763,PANDORA ST,Active,Residential,Local,2021,Local Street,2021,,LSB,,,,,,,,,,,Local Street,0.1408538778395722,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0636 49.28302, -123.0617 49.28302)",LSB,,
294767,FRANKLIN ST,Active,Residential,Local,2021,Local Street,2021,,LSB,,,,,,,,,,,Local Street,0.10770400573283878,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0741 49.28223, -123.0726 49.28222)",LSB,,
294770,PANDORA ST,Active,Residential,Local,2021,Local Street,2021,,LSB,,,,,,,,,,,Local Street,0.050661223736197,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0572 49.28299, -123.0565 49.28298)",LSB,,
294772,PANDORA ST,Active,Residential,Local,2021,Local Street,2021,,LSB,,,,,,,,,,,Local Street,0.14032989968080725,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0617 49.28302, -123.0597 49.283)",LSB,,
294773,PANDORA ST,Active,Residential,Local,2021,Local Street,2021,,LSB,,,,,,,,,,,Local Street,0.14220507604930294,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0565 49.28298, -123.0546 49.28298)",LSB,,
294774,PANDORA ST,Active,Residential,Local,2021,Local Street,2021,,LSB,,,,,,,,,,,Local Street,0.19055199367358486,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0546 49.28298, -123.052 49.28298)",LSB,,
294778,Yukon,Active,Residential,Local,2009,Protected Bike Lanes,2009,,PL,"See painted lane up to 2020, then protected section installed: https://www.google.com/maps/@49.2489072,-123.1128251,3a,75y,288.39h,68.54t/data=!3m7!1e1!3m5!1sHXLHqmaP4IqJD7IGd_nLDg!2e0!5s20220101T000000!7i16384!8i8192 . Painted between April 2009 and Aug",2021,Fall 2021,PBL,"likely completed October 2021, see in this video posted by a cyclist in late october, lane markers that are recently painted with temporary markers still visible, denoting recent completion: https://youtu.be/IaYCSIDKwF0?t=27",,,,,,,0.04661789743857909,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1122 49.24893, -123.1128 49.24895)",PBL,PBL,2021
