ID_CITY,ID_DATAENTRY,ID_ROUTE,DPR_CHECK_FLAG,DPR_ENTRY,DPR_EXCL_FLAG,DPR_EXCL1318_REASON,DPR_INCL_1318,DPR_INCL_LEN_1023,DPR_ORDER,LOC_ADJ_IN_ROUTE,LOC_FROM_STREET,LOC_ORIG_ROUTE_NAME,LOC_ORIG_STREET_NAME,LOC_ROUTE_NAME,LOC_STREET_NAME,LOC_TO_STREET,ATR_AAA_NETWORK,ATR_AAA_SEGMENT,ATR_BIKEWAY_DIRECTION,ATR_ES_BOUNDTYPE,ATR_ORIG_TYPE,ATR_OVERALL_DIRECTION,ATR_SEGMENT_LENGTH,ATR_SEGMENT_TYPE,ATR_SNOW_REMOVAL,ATR_SPEEDLIMIT_CITY,ATR_STATUS,ATR_SUBTYPE,ATR_SURFACE_TYPE,ATR_TYPE_CITY,ATR_TYPE_CURRENT,ATR_VEHICLE_DIRECTION,ATR_WN_BOUNDTYPE,INST_COMMENTS,INST_DT_METHOD,INST_INCL_1318,INST_MAJ_HTYPE,INST_MAJ_TRANSFORM,INST_MIN_HTYPE,INST_MIN_TRANSFORM,INST_TYPE,INST_WINDOW,INST_YR,INST_YR_ORIG,UPGR1_COMMENTS,UPGR1_DT_METHOD,UPGR1_INCL_1318,UPGR1_MAJ_HTYPE,UPGR1_MAJ_TRANSFORM,UPGR1_MIN_HTYPE,UPGR1_MIN_TRANSFORM,UPGR1_TYPE,UPGR1_WINDOW,UPGR1_YR,UPGR1_YR_CITY,UPGR1_YR_ORIG,UPGR2_COMMENTS,UPGR2_DT_METHOD,UPGR2_INCL_1318,UPGR2_MAJ_HTYPE,UPGR2_MAJ_TRANSFORM,UPGR2_TYPE,UPGR2_WINDOW,UPGR2_YR,GENERAL_COMMENTS,CONSTRUCTION_NOTE,NOTES_ORIG,GEO_2D_POINT,GEO_JSON_GROUP,GEO_JSON_INDIV,GEO_XY_STRING
278404,1,VAN-R01,N,COMPLETE,N,Upgrades in period: No change in type,No,Y,1,Y,Install Cornwall Ave,Burrard Bridge,Burrard Bridge,Burrard Bridge,Burrard Bridge,Install to Pacific St.,YES,YES,2W,Protected Bike Lanes,Protected Bike Lanes,NS,11.04567554,Arterial,Yes,,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,Off Street,Protected Bike Lanes,"Shared, 1 way,  curb protected: https://www.google.com/maps/@49.2749903,-123.1383197,3a,73.4y,216.25h,71.58t/data=!3m7!1e1!3m5!1sRcWM9yrOOiWD7NzLkTotuA!2e0!5s20070901T000000!7i3328!8i1664 .",ORIG,N,None,,None,,PCM-1,Pre-2009,1990,1990,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,,PBL,,PBL-1,July 2009,2009,2016,2016,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,PBLtoPBL,PBL-1,October 2017,2017,,Ped shared to protected E-2010. protected 2016/7,https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/,"49.275813131685354, -123.13585543583943","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.13578749770508, 49.27583531454019], [-123.13592337397375, 49.275790948830526]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.13578749770508, 49.27583531454019], [-123.13592337397375, 49.275790948830526]] }","[-123.13578749770508, 49.27583531454019], [-123.13592337397375, 49.275790948830526]"
277454,2,VAN-R01,N,COMPLETE,N,Upgrades in period: No change in type,No,Y,2,Y,Install Cornwall Ave,Burrard Bridge,Burrard Bridge,Burrard Bridge,Burrard Bridge,Install to Pacific St.,YES,YES,2W,Protected Bike Lanes,Protected Bike Lanes,NS,90.27427607,Arterial,Yes,,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,Off Street,Protected Bike Lanes,"Shared, 1 way,  curb protected: https://www.google.com/maps/@49.2749903,-123.1383197,3a,73.4y,216.25h,71.58t/data=!3m7!1e1!3m5!1sRcWM9yrOOiWD7NzLkTotuA!2e0!5s20070901T000000!7i3328!8i1664 .",ORIG,N,None,,None,,PCM-1,Pre-2009,1990,1990,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,,PBL,,PBL-1,July 2009,2009,2016,2016,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,PBLtoPBL,PBL-1,October 2017,2017,,Ped shared to protected E-2010. protected 2016/7,https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/,"49.2765430378466, -123.1336333435534","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.13308073725905, 49.27672785387381], [-123.13313263059976, 49.27671016083051], [-123.1341860572506, 49.27635854017757]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.13308073725905, 49.27672785387381], [-123.13313263059976, 49.27671016083051], [-123.1341860572506, 49.27635854017757]] }","[-123.13308073725905, 49.27672785387381], [-123.13313263059976, 49.27671016083051], [-123.1341860572506, 49.27635854017757]"
277456,3,VAN-R01,N,COMPLETE,N,Upgrades in period: No change in type,No,Y,3,Y,Install Cornwall Ave,Burrard Bridge,Burrard Bridge,Burrard Bridge,Burrard Bridge,Install to Pacific St.,YES,YES,2W,Protected Bike Lanes,Protected Bike Lanes,NS,305.2679823,Arterial,Yes,,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,Off Street,Protected Bike Lanes,"Shared, 1 way,  curb protected: https://www.google.com/maps/@49.2749903,-123.1383197,3a,73.4y,216.25h,71.58t/data=!3m7!1e1!3m5!1sRcWM9yrOOiWD7NzLkTotuA!2e0!5s20070901T000000!7i3328!8i1664 .",ORIG,N,None,,None,,PCM-1,Pre-2009,1990,1990,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,,PBL,,PBL-1,July 2009,2009,2016,2016,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,PBLtoPBL,PBL-1,October 2017,2017,,Ped shared to protected E-2010. protected 2016/7,https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/,"49.27518225715759, -123.13780495511419","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.13592337397375, 49.275790948830526], [-123.13677505807532, 49.27551266803559], [-123.13968758315909, 49.27457679635179]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.13592337397375, 49.275790948830526], [-123.13677505807532, 49.27551266803559], [-123.13968758315909, 49.27457679635179]] }","[-123.13592337397375, 49.275790948830526], [-123.13677505807532, 49.27551266803559], [-123.13968758315909, 49.27457679635179]"
277455,4,VAN-R01,N,COMPLETE,N,Upgrades in period: No change in type,No,Y,4,Y,Install Cornwall Ave,Burrard Bridge,Burrard Bridge,Burrard Bridge,Burrard Bridge,Install to Pacific St.,YES,YES,2W,Protected Bike Lanes,Protected Bike Lanes,NS,463.5728095,Arterial,Yes,,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,Off Street,Protected Bike Lanes,"Shared, 1 way,  curb protected: https://www.google.com/maps/@49.2749903,-123.1383197,3a,73.4y,216.25h,71.58t/data=!3m7!1e1!3m5!1sRcWM9yrOOiWD7NzLkTotuA!2e0!5s20070901T000000!7i3328!8i1664 .",ORIG,N,None,,None,,PCM-1,Pre-2009,1990,1990,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,,PBL,,PBL-1,July 2009,2009,2016,2016,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,PBLtoPBL,PBL-1,October 2017,2017,,Ped shared to protected E-2010. protected 2016/7,https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/,"49.27366549317543, -123.14255354992568","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.13968758315909, 49.27457679635179], [-123.14541951669227, 49.27275418999906]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.13968758315909, 49.27457679635179], [-123.14541951669227, 49.27275418999906]] }","[-123.13968758315909, 49.27457679635179], [-123.14541951669227, 49.27275418999906]"
278402,5,VAN-R01,N,COMPLETE,N,Upgrades in period: No change in type,No,Y,5,Y,Install Cornwall Ave,Burrard Bridge,Burrard Bridge,Burrard Bridge,Burrard Bridge,Install to Pacific St.,YES,YES,2W,Protected Bike Lanes,Protected Bike Lanes,NS,58.37923973,Arterial,Yes,,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,Off Street,Protected Bike Lanes,"Shared, 1 way,  curb protected: https://www.google.com/maps/@49.2749903,-123.1383197,3a,73.4y,216.25h,71.58t/data=!3m7!1e1!3m5!1sRcWM9yrOOiWD7NzLkTotuA!2e0!5s20070901T000000!7i3328!8i1664 .",ORIG,N,None,,None,,PCM-1,Pre-2009,1990,1990,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,,PBL,,PBL-1,July 2009,2009,2016,2016,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,PBLtoPBL,PBL-1,October 2017,2017,,Ped shared to protected E-2010. protected 2016/7,https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/,"49.27684925919312, -123.13272490606306","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.13236907546052, 49.27697066612746], [-123.13236910979514, 49.276970652595345], [-123.13308073725905, 49.27672785387381]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.13236907546052, 49.27697066612746], [-123.13236910979514, 49.276970652595345], [-123.13308073725905, 49.27672785387381]] }","[-123.13236907546052, 49.27697066612746], [-123.13236910979514, 49.276970652595345], [-123.13308073725905, 49.27672785387381]"
278403,6,VAN-R01,N,COMPLETE,N,Upgrades in period: No change in type,No,Y,6,Y,Install Cornwall Ave,Burrard Bridge,Burrard Bridge,Burrard Bridge,Burrard Bridge,Install to Pacific St.,YES,YES,2W,Protected Bike Lanes,Protected Bike Lanes,NS,130.2003667,Arterial,Yes,,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,Off Street,Protected Bike Lanes,"Shared, 1 way,  curb protected: https://www.google.com/maps/@49.2749903,-123.1383197,3a,73.4y,216.25h,71.58t/data=!3m7!1e1!3m5!1sRcWM9yrOOiWD7NzLkTotuA!2e0!5s20070901T000000!7i3328!8i1664 .",ORIG,N,None,,None,,PCM-1,Pre-2009,1990,1990,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,,PBL,,PBL-1,July 2009,2009,2016,2016,"Upgrade to PBL, 1 way, https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/ ; https://www.eco-counter.com/blog/from-pilot-to-permanent-the-case-of-the-burrard-bridge-ten-years-ago/",BLOG,N,PBL,PBLtoPBL,PBL-1,October 2017,2017,,Ped shared to protected E-2010. protected 2016/7,https://averagejoecyclist.com/amazing-evolution-of-vancouver-cycling-infrastructure/,"49.27609692768773, -123.13498677758558","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.1341860572506, 49.27635854017757], [-123.13578711310743, 49.275835440924766], [-123.13578749770508, 49.27583531454019]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.1341860572506, 49.27635854017757], [-123.13578711310743, 49.275835440924766], [-123.13578749770508, 49.27583531454019]] }","[-123.1341860572506, 49.27635854017757], [-123.13578711310743, 49.275835440924766], [-123.13578749770508, 49.27583531454019]"
279856,7,VAN-R02,N,COMPLETE,N,No Upgrades in period,No,Y,7,Y,,Dunsmuir,Dunsmuir,Dunsmuir,Dunsmuir,,YES,YES,BD,Protected Bike Lanes,Protected Bike Lanes,EW,49.67386357,Arterial,Yes,50,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,OW,Protected Bike Lanes,Installed June 2006 https://council.vancouver.ca/20060418/documents/tt1_Dunsmuir.pdf,PCN,N,PL,NtoPL,PL,NtoPL,PL,"June, 2006",2006,2006,includes viaduct and into downtown core: https://thirdwavecyclingblog.wordpress.com/2010/05/29/already-there-are-cyclists-on-dunsmuir-st-separated-bike-lanes/,BLOG,N,PBL,PLtoPBL,PBL,PLtoPBL,PBL-2,June 2010,2010,2010,2010,,,N,NA,,NA,NA,NA,,paint to protect2010. curb+more. width per 200blk,,"49.281883365793924, -123.11372066632033","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.11347818196901, 49.281726051198866], [-123.1139631506717, 49.28204068038898]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.11347818196901, 49.281726051198866], [-123.1139631506717, 49.28204068038898]] }","[-123.11347818196901, 49.281726051198866], [-123.1139631506717, 49.28204068038898]"
277855,9,VAN-R02,N,COMPLETE,N,No Upgrades in period,No,Y,8,Y,,Dunsmuir,Dunsmuir,Dunsmuir,Dunsmuir,,YES,YES,BD,Protected Bike Lanes,Protected Bike Lanes,EW,49.6994979,Arterial,Yes,50,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,OW,Protected Bike Lanes,Installed June 2006 https://council.vancouver.ca/20060418/documents/tt1_Dunsmuir.pdf,PCN,N,PL,NtoPL,PL,NtoPL,PL,"June, 2006",2006,2006,includes viaduct and into downtown core: https://thirdwavecyclingblog.wordpress.com/2010/05/29/already-there-are-cyclists-on-dunsmuir-st-separated-bike-lanes/,BLOG,N,PBL,PLtoPBL,PBL,PLtoPBL,PBL-2,June 2010,2010,2010,2010,,,N,NA,,NA,NA,NA,,paint to protect2010. curb+more. width per 200blk,,"49.28313953263524, -123.11566318639682","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.11542021171346, 49.282982373969524], [-123.11589927039375, 49.28329223433095], [-123.11590610905706, 49.283296657595564], [-123.11590616138531, 49.283296690825225]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.11542021171346, 49.282982373969524], [-123.11589927039375, 49.28329223433095], [-123.11590610905706, 49.283296657595564], [-123.11590616138531, 49.283296690825225]] }","[-123.11542021171346, 49.282982373969524], [-123.11589927039375, 49.28329223433095], [-123.11590610905706, 49.283296657595564], [-123.11590616138531, 49.283296690825225]"
279269,11,VAN-R02,N,COMPLETE,N,No Upgrades in period,No,Y,9,Y,,Dunsmuir,Dunsmuir,Dunsmuir,Dunsmuir,,YES,YES,BD,Protected Bike Lanes,Protected Bike Lanes,EW,99.37068611,Arterial,Yes,50,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,OW,Protected Bike Lanes,Installed June 2006 https://council.vancouver.ca/20060418/documents/tt1_Dunsmuir.pdf,PCN,N,PL,NtoPL,PL,NtoPL,PL,"June, 2006",2006,2006,includes viaduct and into downtown core: https://thirdwavecyclingblog.wordpress.com/2010/05/29/already-there-are-cyclists-on-dunsmuir-st-separated-bike-lanes/,BLOG,N,PBL,PLtoPBL,PBL,PLtoPBL,PBL-2,June 2010,2010,2010,2010,,,N,NA,,NA,NA,NA,,paint to protect2010. curb+more. width per 200blk,,"49.28078350773166, -123.11202190520144","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.11153627446178, 49.280469173701256], [-123.11250749682182, 49.28109781644188], [-123.11250754085484, 49.28109783169082]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.11153627446178, 49.280469173701256], [-123.11250749682182, 49.28109781644188], [-123.11250754085484, 49.28109783169082]] }","[-123.11153627446178, 49.280469173701256], [-123.11250749682182, 49.28109781644188], [-123.11250754085484, 49.28109783169082]"
279494,13,VAN-R02,N,COMPLETE,N,No Upgrades in period,No,Y,10,Y,,Dunsmuir,Dunsmuir,Dunsmuir,Dunsmuir,,YES,YES,BD,Protected Bike Lanes,Protected Bike Lanes,EW,49.6563755,Arterial,Yes,50,Active,SL,Paved,Protected Bike Lanes,Protected Bike Lanes,OW,Protected Bike Lanes,Installed June 2006 https://council.vancouver.ca/20060418/documents/tt1_Dunsmuir.pdf,PCN,N,PL,NtoPL,PL,NtoPL,PL,"June, 2006",2006,2006,includes viaduct and into downtown core: https://thirdwavecyclingblog.wordpress.com/2010/05/29/already-there-are-cyclists-on-dunsmuir-st-separated-bike-lanes/,BLOG,N,PBL,PLtoPBL,PBL,PLtoPBL,PBL-2,June 2010,2010,2010,2010,,,N,NA,,NA,NA,NA,,paint to protect2010. curb+more. width per 200blk,,"49.28442284736305, -123.11764670056507","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.11740369043683, 49.284265984167575], [-123.11788971069332, 49.28457971055852]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.11740369043683, 49.284265984167575], [-123.11788971069332, 49.28457971055852]] }","[-123.11740369043683, 49.284265984167575], [-123.11788971069332, 49.28457971055852]"
